pair,model_1,model_2,condition,n_episodes,accuracy,no_leave_rate,null_choice_rate,guide_leave_choice_rate,ambiguous_leave_rate,negation_choice_rate,substring_match_rate,prompt_leakage_rate,cascade_leakage_rate,repetitive_loop_rate,max_turns_hit_rate,single_word_seeker_rate,guide_says_leave_rate,multi_leave_rate,ava_parroting_rate,parenthetical_aside_rate,guide_goal_failure_rate,seeker_contradicts_knowledge_rate,meta_commentary_rate
Mistral-7B-Instruct-v0.2 x Qwen_Qwen3-14B,Mistral-7B-Instruct-v0.2,Qwen_Qwen3-14B,false_deceive,100,0.0400,0.0300,0.0100,0.0200,0.0100,0.0000,0.0300,0.0100,0.0100,0.0600,0.0500,0.0600,0.0200,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000
Mistral-7B-Instruct-v0.2 x Qwen_Qwen3-14B,Mistral-7B-Instruct-v0.2,Qwen_Qwen3-14B,false_help,100,0.0500,0.0300,0.0000,0.0100,0.0000,0.0000,0.0300,0.0000,0.0000,0.0400,0.0300,0.0500,0.0200,0.0100,0.0000,0.0100,0.0000,0.0000,0.0000
Mistral-7B-Instruct-v0.2 x Qwen_Qwen3-14B,Mistral-7B-Instruct-v0.2,Qwen_Qwen3-14B,ignorance_deceive,100,0.3200,0.1000,0.0100,0.0200,0.0000,0.0000,0.0300,0.0100,0.0000,0.1400,0.1100,0.1200,0.0100,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000
Mistral-7B-Instruct-v0.2 x Qwen_Qwen3-14B,Mistral-7B-Instruct-v0.2,Qwen_Qwen3-14B,ignorance_help,100,0.8800,0.0300,0.0100,0.0100,0.0100,0.0000,0.0200,0.0000,0.0000,0.0500,0.0300,0.0600,0.0100,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000
Mistral-7B-Instruct-v0.2 x Qwen_Qwen3-14B,Mistral-7B-Instruct-v0.2,Qwen_Qwen3-14B,shared_deceive,100,0.9600,0.0600,0.0100,0.0000,0.0100,0.0000,0.0200,0.0000,0.0000,0.0600,0.0600,0.0600,0.0000,0.0000,0.0000,0.0000,0.0100,0.0400,0.0000
Mistral-7B-Instruct-v0.2 x Qwen_Qwen3-14B,Mistral-7B-Instruct-v0.2,Qwen_Qwen3-14B,shared_help,100,1.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0100,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mistral-7B-Instruct-v0.2 x allenai_OLMo-3-7B-Instruct,Mistral-7B-Instruct-v0.2,allenai_OLMo-3-7B-Instruct,false_deceive,100,0.0900,0.0900,0.0000,0.0000,0.0100,0.0000,0.0300,0.0200,0.0200,0.1400,0.1000,0.1400,0.0000,0.0000,0.0000,0.0100,0.0100,0.0000,0.0000
Mistral-7B-Instruct-v0.2 x allenai_OLMo-3-7B-Instruct,Mistral-7B-Instruct-v0.2,allenai_OLMo-3-7B-Instruct,false_help,100,0.2800,0.1200,0.0000,0.0500,0.0100,0.0100,0.0200,0.0000,0.0000,0.2500,0.1300,0.2900,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mistral-7B-Instruct-v0.2 x allenai_OLMo-3-7B-Instruct,Mistral-7B-Instruct-v0.2,allenai_OLMo-3-7B-Instruct,ignorance_deceive,100,0.1900,0.0500,0.0200,0.0000,0.0100,0.0100,0.0400,0.0200,0.0100,0.1300,0.0800,0.1400,0.0000,0.0000,0.0000,0.0100,0.0100,0.0000,0.0000
Mistral-7B-Instruct-v0.2 x allenai_OLMo-3-7B-Instruct,Mistral-7B-Instruct-v0.2,allenai_OLMo-3-7B-Instruct,ignorance_help,100,0.9100,0.0100,0.0100,0.0000,0.0200,0.0000,0.0200,0.0100,0.0100,0.0300,0.0100,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mistral-7B-Instruct-v0.2 x allenai_OLMo-3-7B-Instruct,Mistral-7B-Instruct-v0.2,allenai_OLMo-3-7B-Instruct,shared_deceive,100,0.6900,0.1400,0.0100,0.0300,0.0200,0.0500,0.0500,0.0200,0.0200,0.2400,0.1800,0.2300,0.0200,0.0000,0.0000,0.0000,0.0100,0.3100,0.0000
Mistral-7B-Instruct-v0.2 x allenai_OLMo-3-7B-Instruct,Mistral-7B-Instruct-v0.2,allenai_OLMo-3-7B-Instruct,shared_help,100,1.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x Meta-Llama-3-8B-Instruct,Mistral-7B-Instruct-v0.3,Meta-Llama-3-8B-Instruct,false_deceive,100,0.2800,0.1600,0.0000,0.0400,0.0500,0.0100,0.0900,0.0000,0.0000,0.1000,0.2600,0.0000,0.0100,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x Meta-Llama-3-8B-Instruct,Mistral-7B-Instruct-v0.3,Meta-Llama-3-8B-Instruct,false_help,100,0.1400,0.3700,0.0000,0.0600,0.0600,0.0000,0.0200,0.0200,0.0100,0.3100,0.4100,0.0000,0.0600,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x Meta-Llama-3-8B-Instruct,Mistral-7B-Instruct-v0.3,Meta-Llama-3-8B-Instruct,ignorance_deceive,100,0.7300,0.4000,0.0200,0.0500,0.0200,0.0000,0.0800,0.0000,0.0000,0.2600,0.4800,0.0000,0.0100,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x Meta-Llama-3-8B-Instruct,Mistral-7B-Instruct-v0.3,Meta-Llama-3-8B-Instruct,ignorance_help,100,0.5900,0.5200,0.0000,0.0300,0.0100,0.0000,0.0400,0.0000,0.0000,0.2200,0.4900,0.0000,0.0200,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x Meta-Llama-3-8B-Instruct,Mistral-7B-Instruct-v0.3,Meta-Llama-3-8B-Instruct,shared_deceive,100,0.9000,0.1200,0.0100,0.0100,0.0100,0.0100,0.0900,0.0000,0.0000,0.0700,0.1700,0.0000,0.0100,0.0000,0.0000,0.0000,0.0200,0.1000,0.0000
Mistral-7B-Instruct-v0.3 x Meta-Llama-3-8B-Instruct,Mistral-7B-Instruct-v0.3,Meta-Llama-3-8B-Instruct,shared_help,100,0.9400,0.2100,0.0000,0.0900,0.0000,0.0000,0.0200,0.0000,0.0000,0.2200,0.1700,0.0000,0.0600,0.0100,0.0000,0.1500,0.0000,0.0600,0.0000
Mistral-7B-Instruct-v0.3 x Mistral-7B-Instruct-v0.2,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.2,false_deceive,100,0.1400,0.0500,0.0000,0.0100,0.0400,0.0000,0.0500,0.0000,0.0000,0.1000,0.1100,0.0000,0.0100,0.0900,0.0000,0.0500,0.0200,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x Mistral-7B-Instruct-v0.2,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.2,false_help,100,0.1300,0.0300,0.0000,0.0300,0.0300,0.0100,0.0200,0.0000,0.0000,0.0700,0.0700,0.0000,0.0200,0.1200,0.0000,0.0300,0.0000,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x Mistral-7B-Instruct-v0.2,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.2,ignorance_deceive,100,0.6600,0.1200,0.0200,0.0100,0.0300,0.0000,0.0500,0.0000,0.0000,0.1500,0.1900,0.0000,0.0200,0.1300,0.0000,0.0500,0.0200,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x Mistral-7B-Instruct-v0.2,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.2,ignorance_help,100,0.3800,0.0100,0.0000,0.0100,0.0100,0.0000,0.0400,0.0100,0.0000,0.0400,0.0400,0.0000,0.0100,0.1700,0.0000,0.1000,0.0000,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x Mistral-7B-Instruct-v0.2,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.2,shared_deceive,100,0.9700,0.0200,0.0000,0.0400,0.0200,0.0000,0.0300,0.0100,0.0000,0.1200,0.1800,0.0000,0.0300,0.1900,0.0000,0.0800,0.0200,0.0300,0.0000
Mistral-7B-Instruct-v0.3 x Mistral-7B-Instruct-v0.2,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.2,shared_help,100,0.9800,0.0000,0.0000,0.0300,0.0200,0.0000,0.0200,0.0000,0.0000,0.0800,0.1100,0.0000,0.0500,0.1700,0.0000,0.0300,0.0000,0.0200,0.0000
Mistral-7B-Instruct-v0.3 x Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,false_deceive,100,0.1700,0.0000,0.0000,0.0000,0.0200,0.0000,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,false_help,100,0.0400,0.0000,0.0000,0.0000,0.0400,0.0900,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,ignorance_deceive,100,0.3200,0.0100,0.1200,0.0000,0.0400,0.0000,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,ignorance_help,100,0.9300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,shared_deceive,100,0.9900,0.0000,0.0100,0.0000,0.0800,0.0000,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0100,0.0000
Mistral-7B-Instruct-v0.3 x Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,shared_help,100,0.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000
Mistral-7B-Instruct-v0.3 x Qwen3-8B,Mistral-7B-Instruct-v0.3,Qwen3-8B,false_deceive,100,0.2100,0.0100,0.0000,0.0000,0.0300,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x Qwen3-8B,Mistral-7B-Instruct-v0.3,Qwen3-8B,false_help,100,0.1400,0.0100,0.0000,0.0000,0.0600,0.0000,0.0200,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x Qwen3-8B,Mistral-7B-Instruct-v0.3,Qwen3-8B,ignorance_deceive,100,0.5700,0.0100,0.0200,0.0000,0.0300,0.0000,0.0600,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x Qwen3-8B,Mistral-7B-Instruct-v0.3,Qwen3-8B,ignorance_help,100,0.8000,0.0100,0.0000,0.0000,0.0200,0.0000,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x Qwen3-8B,Mistral-7B-Instruct-v0.3,Qwen3-8B,shared_deceive,100,0.9300,0.0000,0.0000,0.0000,0.0900,0.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0700,0.0000
Mistral-7B-Instruct-v0.3 x Qwen3-8B,Mistral-7B-Instruct-v0.3,Qwen3-8B,shared_help,100,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x Qwen_Qwen3-14B,Mistral-7B-Instruct-v0.3,Qwen_Qwen3-14B,false_deceive,100,0.0700,0.0400,0.0000,0.0000,0.0000,0.0000,0.0300,0.0000,0.0000,0.0800,0.0400,0.1000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x Qwen_Qwen3-14B,Mistral-7B-Instruct-v0.3,Qwen_Qwen3-14B,false_help,100,0.0500,0.0200,0.0000,0.0000,0.0100,0.0000,0.0200,0.0000,0.0000,0.0400,0.0300,0.0400,0.0100,0.0100,0.0000,0.0100,0.0000,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x Qwen_Qwen3-14B,Mistral-7B-Instruct-v0.3,Qwen_Qwen3-14B,ignorance_deceive,100,0.5100,0.0200,0.0000,0.0100,0.0000,0.0000,0.0400,0.0000,0.0000,0.0600,0.0400,0.0800,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x Qwen_Qwen3-14B,Mistral-7B-Instruct-v0.3,Qwen_Qwen3-14B,ignorance_help,100,0.8500,0.0000,0.0000,0.0200,0.0000,0.0000,0.0400,0.0000,0.0000,0.0100,0.0000,0.0300,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x Qwen_Qwen3-14B,Mistral-7B-Instruct-v0.3,Qwen_Qwen3-14B,shared_deceive,100,0.9400,0.0500,0.0000,0.0100,0.0100,0.0000,0.0400,0.0000,0.0000,0.0600,0.0400,0.0600,0.0100,0.0000,0.0000,0.0000,0.0200,0.0600,0.0000
Mistral-7B-Instruct-v0.3 x Qwen_Qwen3-14B,Mistral-7B-Instruct-v0.3,Qwen_Qwen3-14B,shared_help,100,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x allenai_OLMo-3-7B-Instruct,Mistral-7B-Instruct-v0.3,allenai_OLMo-3-7B-Instruct,false_deceive,100,0.0900,0.1200,0.0000,0.0100,0.0000,0.0000,0.0400,0.0000,0.0000,0.1800,0.1300,0.2500,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x allenai_OLMo-3-7B-Instruct,Mistral-7B-Instruct-v0.3,allenai_OLMo-3-7B-Instruct,false_help,100,0.3300,0.0300,0.0000,0.0200,0.0000,0.0800,0.0200,0.0100,0.0100,0.1500,0.0400,0.2200,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x allenai_OLMo-3-7B-Instruct,Mistral-7B-Instruct-v0.3,allenai_OLMo-3-7B-Instruct,ignorance_deceive,100,0.4400,0.0500,0.0400,0.0000,0.0000,0.0000,0.0300,0.0000,0.0000,0.1300,0.0800,0.2700,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x allenai_OLMo-3-7B-Instruct,Mistral-7B-Instruct-v0.3,allenai_OLMo-3-7B-Instruct,ignorance_help,100,0.8700,0.0100,0.0000,0.0000,0.0200,0.0100,0.0200,0.0000,0.0000,0.0100,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mistral-7B-Instruct-v0.3 x allenai_OLMo-3-7B-Instruct,Mistral-7B-Instruct-v0.3,allenai_OLMo-3-7B-Instruct,shared_deceive,100,0.9300,0.0400,0.0000,0.0000,0.0000,0.0100,0.0300,0.0000,0.0000,0.1500,0.0500,0.2100,0.0000,0.0000,0.0000,0.0000,0.0200,0.0700,0.0000
Mistral-7B-Instruct-v0.3 x allenai_OLMo-3-7B-Instruct,Mistral-7B-Instruct-v0.3,allenai_OLMo-3-7B-Instruct,shared_help,100,1.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0200,0.0000,0.0000,0.0100,0.0000,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Qwen2.5-7B-Instruct x Meta-Llama-3-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3-8B-Instruct,false_deceive,100,0.2100,0.3300,0.0000,0.1000,0.0200,0.0000,0.0200,0.0000,0.0000,0.3200,0.4100,0.0000,0.0800,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000
Qwen2.5-7B-Instruct x Meta-Llama-3-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3-8B-Instruct,false_help,100,0.0600,0.6100,0.0000,0.0400,0.0200,0.0100,0.0200,0.0000,0.0000,0.6200,0.6500,0.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Qwen2.5-7B-Instruct x Meta-Llama-3-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3-8B-Instruct,ignorance_deceive,100,0.6900,0.5300,0.0000,0.1200,0.0100,0.0100,0.0500,0.0000,0.0000,0.3700,0.5500,0.0000,0.1100,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000
Qwen2.5-7B-Instruct x Meta-Llama-3-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3-8B-Instruct,ignorance_help,100,0.5300,0.6900,0.0000,0.1300,0.0100,0.0000,0.0400,0.0000,0.0000,0.4400,0.6200,0.0000,0.1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Qwen2.5-7B-Instruct x Meta-Llama-3-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3-8B-Instruct,shared_deceive,100,0.9300,0.2200,0.0000,0.1200,0.0200,0.0100,0.0200,0.0000,0.0000,0.2000,0.2700,0.0000,0.1200,0.0000,0.0000,0.0000,0.0200,0.0700,0.0000
Qwen2.5-7B-Instruct x Meta-Llama-3-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3-8B-Instruct,shared_help,100,0.9200,0.3500,0.0000,0.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.4700,0.3400,0.0000,0.2500,0.0000,0.0100,0.0000,0.0000,0.0800,0.0000
Qwen2.5-7B-Instruct x Mistral-7B-Instruct-v0.2,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.2,false_deceive,100,0.2800,0.0100,0.0000,0.0900,0.0200,0.0000,0.0200,0.0000,0.0000,0.0100,0.0300,0.0000,0.0900,0.1600,0.0000,0.0700,0.0200,0.0000,0.0000
Qwen2.5-7B-Instruct x Mistral-7B-Instruct-v0.2,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.2,false_help,100,0.0400,0.0000,0.0000,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0100,0.0100,0.0000,0.0100,0.0300,0.0000,0.0200,0.0000,0.0000,0.0000
Qwen2.5-7B-Instruct x Mistral-7B-Instruct-v0.2,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.2,ignorance_deceive,100,0.8600,0.0000,0.0000,0.1000,0.0200,0.0000,0.0400,0.0000,0.0000,0.0100,0.0000,0.0000,0.1000,0.1200,0.0000,0.1000,0.0200,0.0000,0.0000
Qwen2.5-7B-Instruct x Mistral-7B-Instruct-v0.2,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.2,ignorance_help,100,0.2200,0.0200,0.0000,0.0600,0.0200,0.0000,0.0200,0.0000,0.0000,0.0600,0.0700,0.0000,0.0700,0.1200,0.0100,0.0300,0.0000,0.0000,0.0000
Qwen2.5-7B-Instruct x Mistral-7B-Instruct-v0.2,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.2,shared_deceive,100,0.9500,0.0000,0.0000,0.1800,0.0200,0.0000,0.0200,0.0000,0.0000,0.0000,0.0100,0.0000,0.1800,0.2100,0.0000,0.1300,0.0200,0.0500,0.0000
Qwen2.5-7B-Instruct x Mistral-7B-Instruct-v0.2,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.2,shared_help,100,0.9900,0.0000,0.0000,0.0300,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0300,0.0300,0.0000,0.0000,0.0000,0.0100,0.0000
Qwen2.5-7B-Instruct x Qwen3-8B,Qwen2.5-7B-Instruct,Qwen3-8B,false_deceive,100,0.2300,0.0100,0.0000,0.0000,0.0200,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000
Qwen2.5-7B-Instruct x Qwen3-8B,Qwen2.5-7B-Instruct,Qwen3-8B,false_help,100,0.2500,0.0000,0.0000,0.0000,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Qwen2.5-7B-Instruct x Qwen3-8B,Qwen2.5-7B-Instruct,Qwen3-8B,ignorance_deceive,100,0.6300,0.0200,0.0200,0.0000,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000
Qwen2.5-7B-Instruct x Qwen3-8B,Qwen2.5-7B-Instruct,Qwen3-8B,ignorance_help,100,0.8500,0.0000,0.0000,0.0000,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Qwen2.5-7B-Instruct x Qwen3-8B,Qwen2.5-7B-Instruct,Qwen3-8B,shared_deceive,100,0.8000,0.0100,0.0000,0.0100,0.1100,0.0000,0.0100,0.0000,0.0000,0.0100,0.0000,0.0100,0.0100,0.0000,0.0000,0.0000,0.0200,0.2000,0.0000
Qwen2.5-7B-Instruct x Qwen3-8B,Qwen2.5-7B-Instruct,Qwen3-8B,shared_help,100,0.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000
Qwen2.5-7B-Instruct x Qwen_Qwen3-14B,Qwen2.5-7B-Instruct,Qwen_Qwen3-14B,false_deceive,100,0.1700,0.0400,0.0100,0.0400,0.0000,0.0000,0.0100,0.0000,0.0000,0.0600,0.0400,0.0700,0.0400,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000
Qwen2.5-7B-Instruct x Qwen_Qwen3-14B,Qwen2.5-7B-Instruct,Qwen_Qwen3-14B,false_help,100,0.0900,0.0300,0.0000,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0900,0.0300,0.0900,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Qwen2.5-7B-Instruct x Qwen_Qwen3-14B,Qwen2.5-7B-Instruct,Qwen_Qwen3-14B,ignorance_deceive,100,0.5200,0.0500,0.0000,0.1000,0.0000,0.0000,0.0200,0.0000,0.0000,0.1600,0.0600,0.1600,0.0900,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000
Qwen2.5-7B-Instruct x Qwen_Qwen3-14B,Qwen2.5-7B-Instruct,Qwen_Qwen3-14B,ignorance_help,100,0.8900,0.0400,0.0000,0.0300,0.0000,0.0000,0.0100,0.0000,0.0000,0.0600,0.0300,0.0800,0.0300,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000
Qwen2.5-7B-Instruct x Qwen_Qwen3-14B,Qwen2.5-7B-Instruct,Qwen_Qwen3-14B,shared_deceive,100,0.9400,0.0100,0.0000,0.0400,0.0000,0.0000,0.0100,0.0000,0.0000,0.0700,0.0100,0.0900,0.0300,0.0000,0.0000,0.0000,0.0200,0.0600,0.0000
Qwen2.5-7B-Instruct x Qwen_Qwen3-14B,Qwen2.5-7B-Instruct,Qwen_Qwen3-14B,shared_help,100,1.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0100,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000
Qwen2.5-7B-Instruct x allenai_OLMo-3-7B-Instruct,Qwen2.5-7B-Instruct,allenai_OLMo-3-7B-Instruct,false_deceive,100,0.2000,0.0600,0.0100,0.0600,0.0300,0.0000,0.0100,0.0000,0.0000,0.1400,0.0700,0.1800,0.0500,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000
Qwen2.5-7B-Instruct x allenai_OLMo-3-7B-Instruct,Qwen2.5-7B-Instruct,allenai_OLMo-3-7B-Instruct,false_help,100,0.2900,0.0700,0.0000,0.0600,0.0200,0.2400,0.0100,0.0000,0.0000,0.1600,0.0700,0.1700,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Qwen2.5-7B-Instruct x allenai_OLMo-3-7B-Instruct,Qwen2.5-7B-Instruct,allenai_OLMo-3-7B-Instruct,ignorance_deceive,100,0.4900,0.0800,0.0100,0.0200,0.0200,0.0000,0.0100,0.0000,0.0000,0.1300,0.0800,0.1900,0.0100,0.0000,0.0100,0.0000,0.0200,0.0000,0.0000
Qwen2.5-7B-Instruct x allenai_OLMo-3-7B-Instruct,Qwen2.5-7B-Instruct,allenai_OLMo-3-7B-Instruct,ignorance_help,100,0.8100,0.0300,0.0000,0.0100,0.0200,0.0200,0.0100,0.0000,0.0000,0.0200,0.0200,0.0200,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Qwen2.5-7B-Instruct x allenai_OLMo-3-7B-Instruct,Qwen2.5-7B-Instruct,allenai_OLMo-3-7B-Instruct,shared_deceive,100,0.8800,0.0700,0.0100,0.0200,0.0100,0.0600,0.0300,0.0000,0.0000,0.1500,0.0800,0.1500,0.0200,0.0000,0.0000,0.0000,0.0200,0.1200,0.0000
Qwen2.5-7B-Instruct x allenai_OLMo-3-7B-Instruct,Qwen2.5-7B-Instruct,allenai_OLMo-3-7B-Instruct,shared_help,100,1.0000,0.0100,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0100,0.0400,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
allenai_OLMo-3-7B-Instruct x Meta-Llama-3-8B-Instruct,allenai_OLMo-3-7B-Instruct,Meta-Llama-3-8B-Instruct,false_deceive,100,0.1800,0.5500,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,0.3300,0.5300,0.0100,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000
allenai_OLMo-3-7B-Instruct x Meta-Llama-3-8B-Instruct,allenai_OLMo-3-7B-Instruct,Meta-Llama-3-8B-Instruct,false_help,100,0.1200,0.3800,0.0000,0.0000,0.0200,0.0000,0.0300,0.0000,0.0000,0.4900,0.4700,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000
