case_type,model,scenario_idx,n_turns,agreement_type,score_a,score_b,joint_score,alloc_a
value_destroying,Qwen2.5-7B-Instruct,58,7,leave,4,4,8,"{""servo motor"": 0, ""sensor board"": 3, ""gear set"": 1}"
pareto_dominated,Qwen2.5-7B-Instruct,59,12,leave,8,4,12,"{""textbook"": 2, ""solution manual"": 2, ""graphing calculator"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,5,11,leave,1,3,4,"{""cutting board"": 0, ""mixing bowl"": 1, ""spatula"": 2}"
value_destroying,Qwen2.5-7B-Instruct,5,11,leave,1,3,4,"{""cutting board"": 0, ""mixing bowl"": 1, ""spatula"": 2}"
pareto_dominated,Qwen2.5-7B-Instruct,60,12,leave,2,3,5,"{""magnet"": 0, ""postcard"": 1, ""keychain"": 0}"
value_destroying,Qwen2.5-7B-Instruct,60,12,leave,2,3,5,"{""magnet"": 0, ""postcard"": 1, ""keychain"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,61,8,leave,3,4,7,"{""vinyl record"": 0, ""comic book"": 0, ""figurine"": 3}"
value_destroying,Qwen2.5-7B-Instruct,61,8,leave,3,4,7,"{""vinyl record"": 0, ""comic book"": 0, ""figurine"": 3}"
pareto_dominated,Qwen2.5-7B-Instruct,62,16,leave,3,3,6,"{""scarf"": 1, ""hat"": 2, ""belt"": 0}"
value_destroying,Qwen2.5-7B-Instruct,62,16,leave,3,3,6,"{""scarf"": 1, ""hat"": 2, ""belt"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,63,16,implicit,7,7,14,"{""brooch"": 1, ""pocket watch"": 2, ""cufflink set"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,64,16,implicit,2,8,10,"{""snow globe"": 0, ""shot glass"": 2, ""bumper sticker"": 2}"
one_sided_deal,Qwen2.5-7B-Instruct,64,16,implicit,2,8,10,"{""snow globe"": 0, ""shot glass"": 2, ""bumper sticker"": 2}"
pareto_dominated,Qwen2.5-7B-Instruct,65,16,implicit,4,6,10,"{""vintage button"": 2, ""old coin"": 2, ""retro badge"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,68,12,leave,0,4,4,"{""action figure"": 0, ""trading card pack"": 0, ""miniature vehicle"": 2}"
irrational_acceptance,Qwen2.5-7B-Instruct,68,12,leave,0,4,4,"{""action figure"": 0, ""trading card pack"": 0, ""miniature vehicle"": 2}"
value_destroying,Qwen2.5-7B-Instruct,68,12,leave,0,4,4,"{""action figure"": 0, ""trading card pack"": 0, ""miniature vehicle"": 2}"
pareto_dominated,Qwen2.5-7B-Instruct,69,16,implicit,4,4,8,"{""hardcover novel"": 2, ""paperback"": 0, ""graphic novel"": 2}"
value_destroying,Qwen2.5-7B-Instruct,69,16,implicit,4,4,8,"{""hardcover novel"": 2, ""paperback"": 0, ""graphic novel"": 2}"
pareto_dominated,Qwen2.5-7B-Instruct,73,16,implicit,4,4,8,"{""tire patch"": 0, ""chain link"": 2, ""brake pad"": 3}"
value_destroying,Qwen2.5-7B-Instruct,73,16,implicit,4,4,8,"{""tire patch"": 0, ""chain link"": 2, ""brake pad"": 3}"
pareto_dominated,Qwen2.5-7B-Instruct,74,16,leave,6,1,7,"{""goggle set"": 1, ""swim cap"": 2, ""kickboard"": 0}"
value_destroying,Qwen2.5-7B-Instruct,74,16,leave,6,1,7,"{""goggle set"": 1, ""swim cap"": 2, ""kickboard"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,78,8,leave,0,6,6,"{""hand wrap"": 0, ""mouth guard"": 0, ""focus mitt"": 2}"
irrational_acceptance,Qwen2.5-7B-Instruct,78,8,leave,0,6,6,"{""hand wrap"": 0, ""mouth guard"": 0, ""focus mitt"": 2}"
value_destroying,Qwen2.5-7B-Instruct,78,8,leave,0,6,6,"{""hand wrap"": 0, ""mouth guard"": 0, ""focus mitt"": 2}"
pareto_dominated,Qwen2.5-7B-Instruct,79,6,leave,5,6,11,"{""hand warmer pack"": 1, ""neck gaiter"": 0, ""goggle lens"": 1}"
pareto_dominated,Qwen2.5-7B-Instruct,80,16,implicit,10,4,14,"{""ornament"": 0, ""garland strand"": 2, ""wreath"": 1}"
pareto_dominated,Qwen2.5-7B-Instruct,81,15,leave,4,5,9,"{""wrapping paper roll"": 2, ""ribbon spool"": 1, ""gift tag pack"": 0}"
value_destroying,Qwen2.5-7B-Instruct,81,15,leave,4,5,9,"{""wrapping paper roll"": 2, ""ribbon spool"": 1, ""gift tag pack"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,83,6,leave,5,7,12,"{""glitter tube"": 1, ""stamp set"": 0, ""cardstock pack"": 1}"
pareto_dominated,Qwen2.5-7B-Instruct,85,7,leave,8,3,11,"{""flag banner"": 1, ""sparkler box"": 0, ""paper plate pack"": 2}"
pareto_dominated,Qwen2.5-7B-Instruct,86,12,leave,3,8,11,"{""cornucopia"": 1, ""autumn leaf garland"": 1, ""table runner"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,88,8,leave,10,4,14,"{""plastic egg pack"": 0, ""basket"": 1, ""stuffed bunny"": 1}"
pareto_dominated,Qwen2.5-7B-Instruct,89,6,leave,3,10,13,"{""noisemaker"": 1, ""party popper"": 1, ""confetti bag"": 0}"
one_sided_deal,Qwen2.5-7B-Instruct,91,14,leave,2,10,12,"{""controller"": 2, ""headset"": 0, ""charging cable"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,92,8,leave,2,9,11,"{""USB hub"": 1, ""mouse pad"": 0, ""cable organizer"": 1}"
one_sided_deal,Qwen2.5-7B-Instruct,92,8,leave,2,9,11,"{""USB hub"": 1, ""mouse pad"": 0, ""cable organizer"": 1}"
one_sided_deal,Qwen2.5-7B-Instruct,93,6,leave,1,9,10,"{""phone case"": 1, ""screen protector"": 0, ""charging brick"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,96,16,implicit,5,6,11,"{""pop filter"": 1, ""microphone stand"": 1, ""audio cable"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,97,16,implicit,3,7,10,"{""ring light"": 1, ""webcam mount"": 0, ""green screen"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,9,8,leave,6,6,12,"{""doormat"": 0, ""key hook"": 2, ""umbrella stand"": 1}"
pareto_dominated,Qwen3-8B,10,1,leave,8,8,16,"{""notebook"": 0, ""pen"": 1, ""marker"": 2}"
pareto_dominated,Qwen3-8B,11,16,implicit,8,8,16,"{""stapler"": 1, ""tape dispenser"": 0, ""folder"": 1}"
pareto_dominated,Qwen3-8B,12,1,leave,7,0,7,"{""binder"": 0, ""calculator"": 1, ""desk organizer"": 2}"
irrational_acceptance,Qwen3-8B,12,1,leave,7,0,7,"{""binder"": 0, ""calculator"": 1, ""desk organizer"": 2}"
value_destroying,Qwen3-8B,12,1,leave,7,0,7,"{""binder"": 0, ""calculator"": 1, ""desk organizer"": 2}"
pareto_dominated,Qwen3-8B,19,1,leave,8,1,9,"{""coffee mug"": 0, ""tea box"": 3, ""sugar jar"": 1}"
one_sided_deal,Qwen3-8B,19,1,leave,8,1,9,"{""coffee mug"": 0, ""tea box"": 3, ""sugar jar"": 1}"
value_destroying,Qwen3-8B,19,1,leave,8,1,9,"{""coffee mug"": 0, ""tea box"": 3, ""sugar jar"": 1}"
pareto_dominated,Qwen3-8B,23,1,leave,8,3,11,"{""sandwich"": 2, ""juice box"": 0, ""fruit cup"": 1}"
one_sided_deal,Qwen3-8B,26,1,leave,10,2,12,"{""burger patty"": 2, ""corn cob"": 0, ""coleslaw cup"": 2}"
pareto_dominated,Qwen3-8B,28,16,implicit,6,5,11,"{""muffin"": 2, ""yogurt cup"": 1, ""juice carton"": 1}"
pareto_dominated,Qwen3-8B,2,1,leave,7,0,7,"{""pillow"": 1, ""blanket"": 2, ""rug"": 0}"
irrational_acceptance,Qwen3-8B,2,1,leave,7,0,7,"{""pillow"": 1, ""blanket"": 2, ""rug"": 0}"
value_destroying,Qwen3-8B,2,1,leave,7,0,7,"{""pillow"": 1, ""blanket"": 2, ""rug"": 0}"
pareto_dominated,Qwen3-8B,32,1,leave,6,10,16,"{""lens filter"": 1, ""memory card"": 0, ""battery pack"": 2}"
pareto_dominated,Qwen3-8B,37,6,leave,4,9,13,"{""wire coil"": 1, ""bead pack"": 0, ""clasp set"": 1}"
one_sided_deal,Qwen3-8B,42,1,leave,10,2,12,"{""lure"": 1, ""bobber"": 4, ""fishing line spool"": 0}"
pareto_dominated,Qwen3-8B,44,1,leave,6,10,16,"{""rope bundle"": 0, ""compass"": 1, ""fire starter"": 1}"
pareto_dominated,Qwen3-8B,45,1,leave,5,5,10,"{""binocular strap"": 0, ""field notebook"": 1, ""bird call whistle"": 1}"
pareto_dominated,Qwen3-8B,47,1,leave,9,3,12,"{""carabiner"": 3, ""chalk bag"": 0, ""quickdraw"": 1}"
pareto_dominated,Qwen3-8B,4,1,leave,7,9,16,"{""lamp"": 0, ""shelf"": 1, ""storage bin"": 2}"
pareto_dominated,Qwen3-8B,50,1,leave,6,6,12,"{""beaker"": 1, ""test tube"": 1, ""petri dish"": 0}"
pareto_dominated,Qwen3-8B,51,1,leave,8,4,12,"{""highlighter"": 2, ""sticky note pad"": 0, ""index card pack"": 1}"
pareto_dominated,Qwen3-8B,52,16,implicit,6,2,8,"{""poster"": 2, ""string light set"": 0, ""throw pillow"": 1}"
value_destroying,Qwen3-8B,52,16,implicit,6,2,8,"{""poster"": 2, ""string light set"": 0, ""throw pillow"": 1}"
pareto_dominated,Qwen3-8B,54,1,leave,6,5,11,"{""sketchpad"": 2, ""charcoal stick"": 1, ""eraser"": 0}"
pareto_dominated,Qwen3-8B,55,1,leave,6,4,10,"{""evidence binder"": 1, ""timer"": 1, ""notepad"": 1}"
one_sided_deal,Qwen3-8B,57,2,leave,2,10,12,"{""wig"": 0, ""prop sword"": 2, ""mask"": 0}"
pareto_dominated,Qwen3-8B,60,1,leave,6,1,7,"{""magnet"": 0, ""postcard"": 1, ""keychain"": 2}"
value_destroying,Qwen3-8B,60,1,leave,6,1,7,"{""magnet"": 0, ""postcard"": 1, ""keychain"": 2}"
one_sided_deal,Qwen3-8B,61,1,leave,10,2,12,"{""vinyl record"": 0, ""comic book"": 1, ""figurine"": 3}"
pareto_dominated,Qwen3-8B,62,7,leave,7,7,14,"{""scarf"": 0, ""hat"": 1, ""belt"": 1}"
pareto_dominated,Qwen3-8B,63,1,leave,7,7,14,"{""brooch"": 1, ""pocket watch"": 2, ""cufflink set"": 0}"
one_sided_deal,Qwen3-8B,64,16,leave,2,10,12,"{""snow globe"": 0, ""shot glass"": 0, ""bumper sticker"": 2}"
one_sided_deal,Qwen3-8B,69,1,leave,9,2,11,"{""hardcover novel"": 2, ""paperback"": 1, ""graphic novel"": 2}"
pareto_dominated,Qwen3-8B,70,1,leave,3,6,9,"{""resistance band"": 0, ""yoga mat"": 1, ""jump rope"": 0}"
value_destroying,Qwen3-8B,70,1,leave,3,6,9,"{""resistance band"": 0, ""yoga mat"": 1, ""jump rope"": 0}"
pareto_dominated,Qwen3-8B,76,1,leave,6,2,8,"{""running sock pair"": 0, ""arm sleeve"": 1, ""visor"": 0}"
value_destroying,Qwen3-8B,76,1,leave,6,2,8,"{""running sock pair"": 0, ""arm sleeve"": 1, ""visor"": 0}"
pareto_dominated,Qwen3-8B,79,1,leave,8,2,10,"{""hand warmer pack"": 2, ""neck gaiter"": 0, ""goggle lens"": 1}"
one_sided_deal,Qwen3-8B,79,1,leave,8,2,10,"{""hand warmer pack"": 2, ""neck gaiter"": 0, ""goggle lens"": 1}"
pareto_dominated,Qwen3-8B,80,14,leave,0,6,6,"{""ornament"": 4, ""garland strand"": 0, ""wreath"": 0}"
irrational_acceptance,Qwen3-8B,80,14,leave,0,6,6,"{""ornament"": 4, ""garland strand"": 0, ""wreath"": 0}"
value_destroying,Qwen3-8B,80,14,leave,0,6,6,"{""ornament"": 4, ""garland strand"": 0, ""wreath"": 0}"
pareto_dominated,Qwen3-8B,81,16,implicit,1,10,11,"{""wrapping paper roll"": 1, ""ribbon spool"": 0, ""gift tag pack"": 0}"
one_sided_deal,Qwen3-8B,81,16,implicit,1,10,11,"{""wrapping paper roll"": 1, ""ribbon spool"": 0, ""gift tag pack"": 0}"
pareto_dominated,Qwen3-8B,86,1,leave,7,2,9,"{""cornucopia"": 2, ""autumn leaf garland"": 0, ""table runner"": 1}"
value_destroying,Qwen3-8B,86,1,leave,7,2,9,"{""cornucopia"": 2, ""autumn leaf garland"": 0, ""table runner"": 1}"
pareto_dominated,Qwen3-8B,87,1,leave,7,5,12,"{""heart balloon"": 1, ""chocolate box"": 0, ""card set"": 1}"
pareto_dominated,Qwen3-8B,88,16,implicit,0,8,8,"{""plastic egg pack"": 1, ""basket"": 0, ""stuffed bunny"": 0}"
one_sided_deal,Qwen3-8B,88,16,implicit,0,8,8,"{""plastic egg pack"": 1, ""basket"": 0, ""stuffed bunny"": 0}"
irrational_acceptance,Qwen3-8B,88,16,implicit,0,8,8,"{""plastic egg pack"": 1, ""basket"": 0, ""stuffed bunny"": 0}"
value_destroying,Qwen3-8B,88,16,implicit,0,8,8,"{""plastic egg pack"": 1, ""basket"": 0, ""stuffed bunny"": 0}"
pareto_dominated,Qwen3-8B,89,16,implicit,1,10,11,"{""noisemaker"": 0, ""party popper"": 1, ""confetti bag"": 0}"
one_sided_deal,Qwen3-8B,89,16,implicit,1,10,11,"{""noisemaker"": 0, ""party popper"": 1, ""confetti bag"": 0}"
pareto_dominated,Qwen3-8B,91,1,leave,9,6,15,"{""controller"": 1, ""headset"": 1, ""charging cable"": 0}"
pareto_dominated,Qwen3-8B,98,1,leave,9,0,9,"{""ethernet cable"": 1, ""wall plate"": 3, ""cable tie pack"": 1}"
one_sided_deal,Qwen3-8B,98,1,leave,9,0,9,"{""ethernet cable"": 1, ""wall plate"": 3, ""cable tie pack"": 1}"
irrational_acceptance,Qwen3-8B,98,1,leave,9,0,9,"{""ethernet cable"": 1, ""wall plate"": 3, ""cable tie pack"": 1}"
value_destroying,Qwen3-8B,98,1,leave,9,0,9,"{""ethernet cable"": 1, ""wall plate"": 3, ""cable tie pack"": 1}"
pareto_dominated,Qwen_Qwen3-14B,10,16,implicit,7,8,15,"{""notebook"": 0, ""pen"": 1, ""marker"": 1}"
one_sided_deal,Qwen_Qwen3-14B,13,16,implicit,2,9,11,"{""poster board"": 0, ""marker set"": 1, ""name tag"": 0}"
pareto_dominated,Qwen_Qwen3-14B,20,1,leave,10,1,11,"{""bag of chips"": 1, ""candy bar"": 2, ""soda can"": 2}"
one_sided_deal,Qwen_Qwen3-14B,20,1,leave,10,1,11,"{""bag of chips"": 1, ""candy bar"": 2, ""soda can"": 2}"
pareto_dominated,Qwen_Qwen3-14B,21,16,implicit,7,8,15,"{""cookie tin"": 1, ""brownie tray"": 0, ""cupcake box"": 0}"
one_sided_deal,Qwen_Qwen3-14B,22,1,leave,10,1,11,"{""balloon pack"": 3, ""streamer roll"": 0, ""party hat"": 1}"
pareto_dominated,Qwen_Qwen3-14B,23,16,implicit,6,9,15,"{""sandwich"": 0, ""juice box"": 0, ""fruit cup"": 1}"
pareto_dominated,Qwen_Qwen3-14B,28,16,implicit,8,6,14,"{""muffin"": 0, ""yogurt cup"": 2, ""juice carton"": 0}"
pareto_dominated,Qwen_Qwen3-14B,2,16,implicit,7,10,17,"{""pillow"": 0, ""blanket"": 2, ""rug"": 1}"
pareto_dominated,Qwen_Qwen3-14B,34,1,leave,10,2,12,"{""wood plank"": 1, ""sandpaper sheet"": 2, ""wood stain can"": 1}"
one_sided_deal,Qwen_Qwen3-14B,34,1,leave,10,2,12,"{""wood plank"": 1, ""sandpaper sheet"": 2, ""wood stain can"": 1}"
pareto_dominated,Qwen_Qwen3-14B,45,16,implicit,7,5,12,"{""binocular strap"": 0, ""field notebook"": 1, ""bird call whistle"": 2}"
pareto_dominated,Qwen_Qwen3-14B,4,16,implicit,7,9,16,"{""lamp"": 0, ""shelf"": 1, ""storage bin"": 2}"
pareto_dominated,Qwen_Qwen3-14B,55,1,leave,7,4,11,"{""evidence binder"": 1, ""timer"": 2, ""notepad"": 0}"
pareto_dominated,Qwen_Qwen3-14B,57,16,implicit,2,9,11,"{""wig"": 0, ""prop sword"": 2, ""mask"": 1}"
one_sided_deal,Qwen_Qwen3-14B,57,16,implicit,2,9,11,"{""wig"": 0, ""prop sword"": 2, ""mask"": 1}"
pareto_dominated,Qwen_Qwen3-14B,59,1,leave,6,4,10,"{""textbook"": 2, ""solution manual"": 1, ""graphing calculator"": 0}"
pareto_dominated,Qwen_Qwen3-14B,62,16,implicit,3,7,10,"{""scarf"": 1, ""hat"": 0, ""belt"": 0}"
pareto_dominated,Qwen_Qwen3-14B,66,5,leave,8,4,12,"{""bookmark"": 3, ""washi tape roll"": 0, ""greeting card"": 1}"
pareto_dominated,Qwen_Qwen3-14B,74,2,leave,4,9,13,"{""goggle set"": 0, ""swim cap"": 1, ""kickboard"": 2}"
one_sided_deal,Qwen_Qwen3-14B,78,16,implicit,2,10,12,"{""hand wrap"": 0, ""mouth guard"": 1, ""focus mitt"": 0}"
pareto_dominated,Qwen_Qwen3-14B,81,16,implicit,4,10,14,"{""wrapping paper roll"": 4, ""ribbon spool"": 0, ""gift tag pack"": 0}"
pareto_dominated,Qwen_Qwen3-14B,82,16,implicit,5,5,10,"{""pumpkin"": 0, ""candy bag"": 1, ""fake spider"": 1}"
pareto_dominated,Qwen_Qwen3-14B,86,16,implicit,5,7,12,"{""cornucopia"": 2, ""autumn leaf garland"": 1, ""table runner"": 0}"
pareto_dominated,Qwen_Qwen3-14B,92,16,implicit,7,2,9,"{""USB hub"": 0, ""mouse pad"": 1, ""cable organizer"": 2}"
value_destroying,Qwen_Qwen3-14B,92,16,implicit,7,2,9,"{""USB hub"": 0, ""mouse pad"": 1, ""cable organizer"": 2}"
pareto_dominated,Qwen_Qwen3-14B,97,1,leave,6,5,11,"{""ring light"": 0, ""webcam mount"": 2, ""green screen"": 1}"
pareto_dominated,Qwen_Qwen3-14B,99,16,implicit,4,6,10,"{""filament spool"": 0, ""print bed"": 3, ""nozzle set"": 1}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,14,2,leave,8,2,10,"{""whiteboard marker"": 3, ""eraser"": 1, ""chalk box"": 0}"
one_sided_deal,allenai_OLMo-3-7B-Instruct,14,2,leave,8,2,10,"{""whiteboard marker"": 3, ""eraser"": 1, ""chalk box"": 0}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,17,16,implicit,6,7,13,"{""workbook"": 0, ""lanyard"": 1, ""badge holder"": 1}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,19,16,implicit,6,1,7,"{""coffee mug"": 0, ""tea box"": 1, ""sugar jar"": 1}"
value_destroying,allenai_OLMo-3-7B-Instruct,19,16,implicit,6,1,7,"{""coffee mug"": 0, ""tea box"": 1, ""sugar jar"": 1}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,21,2,leave,8,8,16,"{""cookie tin"": 1, ""brownie tray"": 1, ""cupcake box"": 0}"
one_sided_deal,allenai_OLMo-3-7B-Instruct,23,16,implicit,1,10,11,"{""sandwich"": 0, ""juice box"": 1, ""fruit cup"": 0}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,27,16,implicit,5,4,9,"{""water bottle"": 1, ""granola bar"": 0, ""fruit pack"": 2}"
value_destroying,allenai_OLMo-3-7B-Instruct,27,16,implicit,5,4,9,"{""water bottle"": 1, ""granola bar"": 0, ""fruit pack"": 2}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,34,16,implicit,2,7,9,"{""wood plank"": 1, ""sandpaper sheet"": 2, ""wood stain can"": 0}"
value_destroying,allenai_OLMo-3-7B-Instruct,34,16,implicit,2,7,9,"{""wood plank"": 1, ""sandpaper sheet"": 2, ""wood stain can"": 0}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,35,16,implicit,5,2,7,"{""clay block"": 0, ""glaze bottle"": 0, ""kiln shelf"": 1}"
value_destroying,allenai_OLMo-3-7B-Instruct,35,16,implicit,5,2,7,"{""clay block"": 0, ""glaze bottle"": 0, ""kiln shelf"": 1}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,38,2,leave,7,7,14,"{""ink bottle"": 1, ""nib set"": 1, ""parchment sheet"": 1}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,41,2,leave,6,4,10,"{""flashlight"": 0, ""water bottle"": 1, ""energy bar"": 1}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,42,10,leave,6,2,8,"{""lure"": 1, ""bobber"": 0, ""fishing line spool"": 0}"
value_destroying,allenai_OLMo-3-7B-Instruct,42,10,leave,6,2,8,"{""lure"": 1, ""bobber"": 0, ""fishing line spool"": 0}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,44,2,leave,6,10,16,"{""rope bundle"": 0, ""compass"": 1, ""fire starter"": 1}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,45,2,leave,5,5,10,"{""binocular strap"": 0, ""field notebook"": 1, ""bird call whistle"": 1}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,48,16,implicit,1,9,10,"{""gel pack"": 0, ""race bib"": 1, ""safety pin set"": 0}"
one_sided_deal,allenai_OLMo-3-7B-Instruct,48,16,implicit,1,9,10,"{""gel pack"": 0, ""race bib"": 1, ""safety pin set"": 0}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,52,16,implicit,8,2,10,"{""poster"": 2, ""string light set"": 0, ""throw pillow"": 2}"
one_sided_deal,allenai_OLMo-3-7B-Instruct,52,16,implicit,8,2,10,"{""poster"": 2, ""string light set"": 0, ""throw pillow"": 2}"
one_sided_deal,allenai_OLMo-3-7B-Instruct,54,16,implicit,2,9,11,"{""sketchpad"": 1, ""charcoal stick"": 0, ""eraser"": 0}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,56,16,implicit,4,4,8,"{""graduated cylinder"": 0, ""pipette"": 2, ""litmus strip pack"": 1}"
value_destroying,allenai_OLMo-3-7B-Instruct,56,16,implicit,4,4,8,"{""graduated cylinder"": 0, ""pipette"": 2, ""litmus strip pack"": 1}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,60,16,implicit,6,1,7,"{""magnet"": 0, ""postcard"": 1, ""keychain"": 2}"
value_destroying,allenai_OLMo-3-7B-Instruct,60,16,implicit,6,1,7,"{""magnet"": 0, ""postcard"": 1, ""keychain"": 2}"
one_sided_deal,allenai_OLMo-3-7B-Instruct,64,16,implicit,10,2,12,"{""snow globe"": 1, ""shot glass"": 0, ""bumper sticker"": 2}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,65,16,implicit,6,8,14,"{""vintage button"": 0, ""old coin"": 0, ""retro badge"": 1}"
one_sided_deal,allenai_OLMo-3-7B-Instruct,70,16,implicit,2,10,12,"{""resistance band"": 1, ""yoga mat"": 0, ""jump rope"": 0}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,72,2,leave,6,4,10,"{""cone"": 2, ""bib"": 0, ""training ball"": 1}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,76,16,implicit,6,2,8,"{""running sock pair"": 0, ""arm sleeve"": 1, ""visor"": 0}"
value_destroying,allenai_OLMo-3-7B-Instruct,76,16,implicit,6,2,8,"{""running sock pair"": 0, ""arm sleeve"": 1, ""visor"": 0}"
one_sided_deal,allenai_OLMo-3-7B-Instruct,78,16,implicit,2,10,12,"{""hand wrap"": 0, ""mouth guard"": 1, ""focus mitt"": 0}"
one_sided_deal,allenai_OLMo-3-7B-Instruct,79,16,implicit,10,2,12,"{""hand warmer pack"": 2, ""neck gaiter"": 0, ""goggle lens"": 2}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,84,2,leave,6,2,8,"{""centerpiece"": 1, ""tablecloth"": 0, ""candle holder"": 1}"
value_destroying,allenai_OLMo-3-7B-Instruct,84,2,leave,6,2,8,"{""centerpiece"": 1, ""tablecloth"": 0, ""candle holder"": 1}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,85,16,implicit,8,2,10,"{""flag banner"": 1, ""sparkler box"": 0, ""paper plate pack"": 3}"
one_sided_deal,allenai_OLMo-3-7B-Instruct,85,16,implicit,8,2,10,"{""flag banner"": 1, ""sparkler box"": 0, ""paper plate pack"": 3}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,86,2,leave,5,3,8,"{""cornucopia"": 1, ""autumn leaf garland"": 0, ""table runner"": 1}"
value_destroying,allenai_OLMo-3-7B-Instruct,86,2,leave,5,3,8,"{""cornucopia"": 1, ""autumn leaf garland"": 0, ""table runner"": 1}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,87,14,leave,7,5,12,"{""heart balloon"": 1, ""chocolate box"": 0, ""card set"": 1}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,89,16,implicit,5,0,5,"{""noisemaker"": 0, ""party popper"": 0, ""confetti bag"": 1}"
irrational_acceptance,allenai_OLMo-3-7B-Instruct,89,16,implicit,5,0,5,"{""noisemaker"": 0, ""party popper"": 0, ""confetti bag"": 1}"
value_destroying,allenai_OLMo-3-7B-Instruct,89,16,implicit,5,0,5,"{""noisemaker"": 0, ""party popper"": 0, ""confetti bag"": 1}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,90,16,implicit,6,2,8,"{""circuit board"": 0, ""LED strip"": 1, ""sensor module"": 1}"
value_destroying,allenai_OLMo-3-7B-Instruct,90,16,implicit,6,2,8,"{""circuit board"": 0, ""LED strip"": 1, ""sensor module"": 1}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,91,16,implicit,8,6,14,"{""controller"": 0, ""headset"": 1, ""charging cable"": 0}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,92,16,implicit,5,2,7,"{""USB hub"": 0, ""mouse pad"": 1, ""cable organizer"": 0}"
value_destroying,allenai_OLMo-3-7B-Instruct,92,16,implicit,5,2,7,"{""USB hub"": 0, ""mouse pad"": 1, ""cable organizer"": 0}"
pareto_dominated,allenai_OLMo-3-7B-Instruct,96,16,implicit,5,6,11,"{""pop filter"": 1, ""microphone stand"": 1, ""audio cable"": 0}"
pareto_dominated,gemini-3.1-pro-preview,10,15,implicit,6,8,14,"{""notebook"": 0, ""pen"": 1, ""marker"": 0}"
pareto_dominated,gemini-3.1-pro-preview,11,15,implicit,8,6,14,"{""stapler"": 1, ""tape dispenser"": 0, ""folder"": 3}"
pareto_dominated,gemini-3.1-pro-preview,16,15,implicit,6,6,12,"{""sticky note pad"": 2, ""paper clip box"": 0, ""pencil cup"": 0}"
pareto_dominated,gemini-3.1-pro-preview,20,15,implicit,8,7,15,"{""bag of chips"": 0, ""candy bar"": 3, ""soda can"": 2}"
pareto_dominated,gemini-3.1-pro-preview,21,15,implicit,7,8,15,"{""cookie tin"": 1, ""brownie tray"": 0, ""cupcake box"": 0}"
pareto_dominated,gemini-3.1-pro-preview,28,15,implicit,8,6,14,"{""muffin"": 0, ""yogurt cup"": 2, ""juice carton"": 0}"
pareto_dominated,gemini-3.1-pro-preview,2,15,implicit,6,10,16,"{""pillow"": 0, ""blanket"": 2, ""rug"": 0}"
pareto_dominated,gemini-3.1-pro-preview,32,15,implicit,6,10,16,"{""lens filter"": 1, ""memory card"": 0, ""battery pack"": 2}"
pareto_dominated,gemini-3.1-pro-preview,42,15,implicit,4,8,12,"{""lure"": 0, ""bobber"": 4, ""fishing line spool"": 2}"
pareto_dominated,gemini-3.1-pro-preview,4,15,implicit,5,9,14,"{""lamp"": 0, ""shelf"": 1, ""storage bin"": 0}"
pareto_dominated,gemini-3.1-pro-preview,51,15,implicit,8,6,14,"{""highlighter"": 2, ""sticky note pad"": 0, ""index card pack"": 0}"
