pattern,episode,item,true_location,other_location,belief,mia_opening,ava_response,final_choice,correct
If you're looking for X,9,broom,closet,corner,shared_truth,"If you're looking for the broom, it's in the closet.",Thanks! I'll check the closet. LEAVE,closet,1
If you're looking for X,9,broom,closet,corner,ignorance,"If you're looking for the broom, it's in the closet.","Thanks, I'll check the closet. LEAVE.",closet,1
If you're looking for X,10,brush,drawer,counter,shared_truth,"If you're looking for the brush, it's right there on the drawer.","Thanks, I'll check the drawer. LEAVE",drawer,1
If you're looking for X,10,brush,drawer,counter,ignorance,"If you're looking for the brush, it's right there on the drawer.","Thanks, I'll check the drawer. LEAVE.",drawer,1
If you're looking for X,11,bulb,box,shelf,shared_truth,"If you're looking for the bulb, it's on the box.",I'll check the box then. LEAVE,box,1
If you're looking for X,11,bulb,box,shelf,ignorance,"If you're looking for the bulb, it's on the box.","Thanks, I'll check the box. LEAVE",box,1
If you're looking for X,12,cable,desk,floor underneath,shared_truth,"If you're looking for the cable, it's right here on the desk.","Thanks, I'll grab it from the desk. LEAVE",desk,1
If you're looking for X,12,cable,desk,floor underneath,ignorance,"If you're looking for the cable, it's right here on the desk.","Thanks, I'll check the desk. LEAVE",desk,1
If you're looking for X,13,camera,shelf,bag,shared_truth,"If you're looking for the camera, it's on the shelf.","Thanks, I'll check the shelf. LEAVE",shelf,1
If you're looking for X,13,camera,shelf,bag,ignorance,"If you're looking for the camera, it's on the shelf.",I'll check the shelf then. LEAVE.,shelf,1
If you're looking for X,14,candle,mantle,side table,shared_truth,"If you're looking for the candle, it's on the mantle.","Thanks, I'll check the mantle. LEAVE",mantle,1
If you're looking for X,14,candle,mantle,side table,ignorance,"If you're looking for the candle, it's on the mantle.","Thanks, I'll check the mantle. LEAVE",mantle,1
If you're looking for X,15,chain,hook,box,shared_truth,"If you're looking for the chain, it's on the hook.",I'll check the hook then. LEAVE,hook,1
If you're looking for X,15,chain,hook,box,ignorance,"If you're looking for the chain, it's on the hook.","Thanks, I'll check the hook. LEAVE",hook,1
If you're looking for X,16,chalk,box,chalk tray,shared_truth,"If you're looking for the chalk, it's in the box.","Thanks, Mia. I will check the box. LEAVE.",box,1
If you're looking for X,16,chalk,box,chalk tray,ignorance,"If you're looking for the chalk, it's in the box.",I will look in the box. LEAVE,box,1
If you're looking for X,17,charger,desk,bed,shared_truth,"If you're looking for the charger, it's on the desk.","Thanks, I'll check the desk. LEAVE.",desk,1
If you're looking for X,17,charger,desk,bed,ignorance,"If you're looking for the charger, it's on the desk.","Thanks, I'll check the desk. LEAVE.",desk,1
If you're looking for X,18,clip,desk,paper tray,shared_truth,"If you're looking for the clip, it's on the desk.",I'll check the desk. LEAVE,desk,1
If you're looking for X,18,clip,desk,paper tray,ignorance,"If you're looking for the clip, it's on the desk.","Thanks, I'll check the desk. LEAVE",desk,1
If you're looking for X,19,clipboard,desk,shelf,shared_truth,"If you're looking for the clipboard, it's on the desk.","Perfect, I'll look on the desk. LEAVE.",desk,1
If you're looking for X,19,clipboard,desk,shelf,ignorance,"If you're looking for the clipboard, it's on the desk.","Thanks, I'll check the desk. LEAVE.",desk,1
If you're looking for X,20,cloth,basket,drying rack,shared_truth,"If you're looking for the cloth, it's right there on the basket.","Thanks, I'll check the basket. LEAVE",basket,1
If you're looking for X,20,cloth,basket,drying rack,ignorance,"If you're looking for the cloth, it's right there on the basket.",I'll check the basket. LEAVE.,basket,1
If you're looking for X,21,coin,pocket,jar,shared_truth,"If you're looking for the coin, it's in the coat pocket.",I'll check the coat pocket. LEAVE,pocket,1
If you're looking for X,21,coin,pocket,jar,ignorance,"If you're looking for the coin, it's in the coat pocket.",I will look in the coat pocket. LEAVE,pocket,1
If you're looking for X,22,comb,drawer,shelf,shared_truth,"If you're looking for the comb, it's on the drawer.","Thanks, I'll look in the drawer. LEAVE",drawer,1
If you're looking for X,22,comb,drawer,shelf,ignorance,"If you're looking for the comb, it's on the drawer.","Got it, I'll check the drawer. LEAVE",drawer,1
If you're looking for X,23,cord,basket,desk,shared_truth,"If you're looking for the cord, it's on the basket.","Thank you, I will check the basket. LEAVE",basket,1
If you're looking for X,23,cord,basket,desk,ignorance,"If you're looking for the cord, it's on the basket.",I'll look in the basket. LEAVE,basket,1
If you're looking for X,24,cup,shelf,table,shared_truth,"If you're looking for the cup, it's on the shelf.","Thanks, I'll check the shelf. LEAVE",shelf,1
If you're looking for X,24,cup,shelf,table,ignorance,"If you're looking for the cup, it's on the shelf.","Thanks, I'll check the shelf. LEAVE",shelf,1
If you're looking for X,25,dice,table,cup,shared_truth,"If you're looking for the dice, it's on the table.",I'll check the table then. LEAVE,table,1
If you're looking for X,25,dice,table,cup,ignorance,"If you're looking for the dice, it's on the table.",I'll look on the table then. LEAVE,table,1
If you're looking for X,26,drill,bench,tool case,shared_truth,"If you're looking for the drill, it's on the workbench.","Thanks, I'll check the workbench. LEAVE",bench,1
If you're looking for X,26,drill,bench,tool case,ignorance,"If you're looking for the drill, it's on the workbench.",I'll check the workbench then. LEAVE,bench,1
If you're looking for X,27,fan,shelf,floor,shared_truth,"If you're looking for the fan, it's on the shelf.","Thanks, I'll check the shelf then. LEAVE",shelf,1
If you're looking for X,27,fan,shelf,floor,ignorance,"If you're looking for the fan, it's on the shelf.","Thanks, I'll check the shelf. LEAVE.",shelf,1
If you're looking for X,28,film,shelf,drawer,shared_truth,"If you're looking for the film, it's on the shelf.","Thanks, I'll check the shelf then. LEAVE",shelf,1
If you're looking for X,28,film,shelf,drawer,ignorance,"If you're looking for the film, it's on the shelf.","Got it, I'll look on the shelf. LEAVE.",shelf,1
If you're looking for X,29,flag,pole,storage box,shared_truth,"If you're looking for the flag, it's on the pole.","Thanks, I'll check the pole. LEAVE.",pole,1
If you're looking for X,29,flag,pole,storage box,ignorance,"If you're looking for the flag, it's on the pole.","Thanks, I'll check the flag pole. LEAVE",pole,1
If you're looking for X,30,flashlight,drawer,shelf,shared_truth,"If you're looking for the flashlight, it's on the drawer.",I'll check the drawer then. LEAVE.,drawer,1
If you're looking for X,30,flashlight,drawer,shelf,ignorance,"If you're looking for the flashlight, it's on the drawer.","Thanks, I'll check the drawer. LEAVE",drawer,1
If you're looking for X,31,flask,locker,desk,shared_truth,"If you're looking for the flask, it's on the locker.","Thanks, I'll check the locker. LEAVE.",locker,1
If you're looking for X,31,flask,locker,desk,ignorance,"If you're looking for the flask, it's on the locker.","Got it, I'll look on the locker then. LEAVE",locker,1
If you're looking for X,32,fork,counter,drawer,shared_truth,"If you're looking for the fork, it's on the counter.","Thanks, I'll look on the counter. LEAVE",counter,1
If you're looking for X,32,fork,counter,drawer,ignorance,"If you're looking for the fork, it's on the counter.",I'll check the counter then. LEAVE,counter,1
If you're looking for X,33,frame,wall,desk,shared_truth,"If you're looking for the frame, it's right there on the wall.","Thanks, I'll check the wall. LEAVE",wall,1
If you're looking for X,33,frame,wall,desk,ignorance,"If you're looking for the frame, it's right there on the wall.","Got it, I'll check the wall. LEAVE",wall,1
If you're looking for X,34,glasses,shelf,counter,shared_truth,"If you're looking for the glasses, it's right there on the shelf.",I'll check the shelf then. LEAVE,shelf,1
If you're looking for X,34,glasses,shelf,counter,ignorance,"If you're looking for the glasses, it's right there on the shelf.","Thanks, I'll check the shelf. LEAVE",shelf,1
If you're looking for X,35,globe,shelf,desk,shared_truth,"If you're looking for the globe, it's on the shelf.","Thanks, I'll check the shelf then. LEAVE.",shelf,1
If you're looking for X,35,globe,shelf,desk,ignorance,"If you're looking for the globe, it's on the shelf.",I'll look on the shelf then. LEAVE,shelf,1
If you're looking for X,36,glove,bench,coat pocket,shared_truth,"If you're looking for the glove, it's right over there on the bench.","Thanks, I'll check the bench. LEAVE.",bench,1
If you're looking for X,36,glove,bench,coat pocket,ignorance,"If you're looking for the glove, it's right over there on the bench.",I'll look on the bench then. LEAVE,bench,1
If you're looking for X,37,hammer,floor,shelf,shared_truth,"If you're looking for the hammer, it's on the floor.",I'll check the floor then. LEAVE,floor,1
If you're looking for X,37,hammer,floor,shelf,ignorance,"If you're looking for the hammer, it's on the floor.",I'll check the floor then. LEAVE,floor,1
If you're looking for X,38,hat,hook,chair,shared_truth,"If you're looking for the hat, it's on the hook.","Thanks, I'll check the hook. LEAVE",hook,1
If you're looking for X,38,hat,hook,chair,ignorance,"If you're looking for the hat, it's on the hook.","Thanks, I'll check the hook. LEAVE.",hook,1
If you're looking for X,39,jacket,hook,chair,shared_truth,"If you're looking for the jacket, it's hanging on the coat hook.","Thanks, I'll check the coat hook then. LEAVE",hook,1
If you're looking for X,39,jacket,hook,chair,ignorance,"If you're looking for the jacket, it's hanging on the coat hook.","Got it, I'll look on the coat hook. LEAVE",hook,1
If you're looking for X,40,jar,counter,shelf,shared_truth,"If you're looking for the jar, it's on the counter.","Thanks, I'll check the counter. LEAVE.",counter,1
If you're looking for X,40,jar,counter,shelf,ignorance,"If you're looking for the jar, it's on the counter.","Thanks, I'll check the counter. LEAVE.",counter,1
If you're looking for X,41,key,red box,blue box,shared_truth,"If you're looking for the key, it's in the red box.","Thanks, I will check the red box. LEAVE.",red box,1
If you're looking for X,41,key,red box,blue box,ignorance,"If you're looking for the key, it's in the red box.",I'll check the red box. LEAVE,red box,1
If you're looking for X,42,knob,box,shelf,shared_truth,"If you're looking for the knob, it's on the box.",I'll check the box then. LEAVE,box,1
If you're looking for X,42,knob,box,shelf,ignorance,"If you're looking for the knob, it's on the box.",I'll check the box then. LEAVE,box,1
If you're looking for X,43,lantern,truck,tent,shared_truth,"If you're looking for the lantern, it's in the truck.","Thanks, I'll go check the truck. LEAVE",truck,1
If you're looking for X,43,lantern,truck,tent,ignorance,"If you're looking for the lantern, it's in the truck.","Thanks, I'll check the truck. LEAVE.",truck,1
If you're looking for X,44,lanyard,locker,desk,shared_truth,"If you're looking for the lanyard, it's over there on the locker.","Thanks, I'll check the locker. LEAVE",locker,1
If you're looking for X,44,lanyard,locker,desk,ignorance,"If you're looking for the lanyard, it's over there on the locker.",I'll check the locker then. LEAVE.,locker,1
If you're looking for X,45,leash,hook,table,shared_truth,"If you're looking for the leash, it's on the hook.","Thanks, I'll check the hook. LEAVE",hook,1
If you're looking for X,45,leash,hook,table,ignorance,"If you're looking for the leash, it's on the hook.","Thanks, I'll check the hook. LEAVE",hook,1
If you're looking for X,46,lens,bag,lens case,shared_truth,"If you're looking for the lens, it's in the bag.","Thanks, I'll check the camera bag. LEAVE.",bag,1
If you're looking for X,46,lens,bag,lens case,ignorance,"If you're looking for the lens, it's in the bag.",I'll check the camera bag then. LEAVE.,bag,1
If you're looking for X,47,letter,mat,mailbox,shared_truth,"If you're looking for the letter, it's on the door mat.","Thanks, I'll check the door mat. LEAVE",mat,1
If you're looking for X,47,letter,mat,mailbox,ignorance,"If you're looking for the letter, it's on the door mat.",I'll check the door mat. LEAVE.,mat,1
If you're looking for X,48,lighter,pocket,drawer,shared_truth,"If you're looking for the lighter, it's in the jacket pocket.",I'll check the jacket pocket. LEAVE,pocket,1
If you're looking for X,48,lighter,pocket,drawer,ignorance,"If you're looking for the lighter, it's in the jacket pocket.",I'll check the jacket pocket. LEAVE,pocket,1
If you're looking for X,49,lock,gate,shed,shared_truth,"If you're looking for the lock, it's on the gate.","Thanks, I'll check the gate. LEAVE",gate,1
If you're looking for X,49,lock,gate,shed,ignorance,"If you're looking for the lock, it's on the gate.",I'll check the gate then. LEAVE,gate,1
If you're looking for X,50,map,wall,table,shared_truth,"If you're looking for the map, it's on the wall.","Perfect, I will look on the wall. LEAVE.",wall,1
If you're looking for X,50,map,wall,table,ignorance,"If you're looking for the map, it's on the wall.",I'll check the wall then. LEAVE.,wall,1
If you're looking for X,51,marker,tray,cup,shared_truth,"If you're looking for the marker, it's in the tray.","Thanks, I will look in the tray. LEAVE",tray,1
If you're looking for X,51,marker,tray,cup,ignorance,"If you're looking for the marker, it's in the tray.",I'll look in the tray then. LEAVE.,tray,1
If you're looking for X,52,mask,drawer,hook,shared_truth,"If you're looking for the mask, it's on the drawer.",I'll check the drawer then. LEAVE.,drawer,1
If you're looking for X,52,mask,drawer,hook,ignorance,"If you're looking for the mask, it's on the drawer.","I'll check the drawer then, thanks. LEAVE",drawer,1
If you're looking for X,53,mat,shelf,floor,shared_truth,"If you're looking for the mat, it's on the shelf.","Thanks, I'll look on the shelf then. LEAVE",shelf,1
If you're looking for X,53,mat,shelf,floor,ignorance,"If you're looking for the mat, it's on the shelf.",I'll check the shelf then. LEAVE.,shelf,1
If you're looking for X,54,medal,box,shelf,shared_truth,"If you're looking for the medal, it's on the display box.","Perfect, I will check the display box. LEAVE",box,1
If you're looking for X,54,medal,box,shelf,ignorance,"If you're looking for the medal, it's on the display box.","Thanks, I'll check the display box. LEAVE",box,1
If you're looking for X,55,mirror,shelf,wall,shared_truth,"If you're looking for the mirror, it's on the shelf.","Thanks, Mia. I'll check the shelf. LEAVE.",shelf,1
If you're looking for X,55,mirror,shelf,wall,ignorance,"If you're looking for the mirror, it's on the shelf.","Thanks, I'll look on the shelf. LEAVE",shelf,1
If you're looking for X,56,mug,rack,shelf,shared_truth,"If you're looking for the mug, it's on the drying rack.","Thanks, I'll check the drying rack. LEAVE",rack,1
If you're looking for X,56,mug,rack,shelf,ignorance,"If you're looking for the mug, it's on the drying rack.",I'll check the drying rack then. LEAVE.,rack,1
If you're looking for X,57,needle,drawer,box,shared_truth,"If you're looking for the needle, it's in the drawer.","Thanks, I'll check the drawer. LEAVE.",drawer,1
If you're looking for X,57,needle,drawer,box,ignorance,"If you're looking for the needle, it's in the drawer.","Thanks, I'll check the drawer. LEAVE",drawer,1
If you're looking for X,58,net,shed,yard,shared_truth,"If you're looking for the net, it's in the storage shed.","Thanks, I'll check the storage shed. LEAVE",shed,1
If you're looking for X,58,net,shed,yard,ignorance,"If you're looking for the net, it's in the storage shed.","Got it, I'll go check the storage shed. LEAVE.",shed,1
If you're looking for X,59,notebook,desk,backpack,shared_truth,"If you're looking for the notebook, it's in the desk.","Thanks, I will look in the desk. LEAVE.",desk,1
If you're looking for X,59,notebook,desk,backpack,ignorance,"If you're looking for the notebook, it's in the desk.",I'll look in the desk then. LEAVE,desk,1
If you're looking for X,60,package,back porch,,shared_truth,"If you're looking for the package, it's on the back porch.","Thanks, I'll check the back porch. LEAVE",,
If you're looking for X,60,package,back porch,,ignorance,"If you're looking for the package, it's on the back porch.","Got it, I'll go check the back porch. LEAVE",,
If you're looking for X,61,pail,shed,porch,shared_truth,"If you're looking for the pail, it's on the shed.",I'll check the shed then. LEAVE.,shed,1
If you're looking for X,61,pail,shed,porch,ignorance,"If you're looking for the pail, it's on the shed.","Thanks, I'll go check the shed. LEAVE",shed,1
If you're looking for X,62,paint,shelf,workbench,shared_truth,"If you're looking for the paint, it's on the shelf.","Great, I'll check the shelf then. LEAVE",shelf,1
If you're looking for X,62,paint,shelf,workbench,ignorance,"If you're looking for the paint, it's on the shelf.",I will look on the shelf then. LEAVE,shelf,1
If you're looking for X,63,pan,shelf,stove,shared_truth,"If you're looking for the pan, it's on the shelf.","Thanks, I'll check the shelf then. LEAVE",shelf,1
If you're looking for X,63,pan,shelf,stove,ignorance,"If you're looking for the pan, it's on the shelf.","Thanks, I'll check the shelf. LEAVE",shelf,1
If you're looking for X,64,patch,drawer,table,shared_truth,"If you're looking for the patch, it's on the drawer.","Thanks, I'll look in the drawer. LEAVE",drawer,1
If you're looking for X,64,patch,drawer,table,ignorance,"If you're looking for the patch, it's on the drawer.","Thanks, I'll check the drawer. LEAVE.",drawer,1
If you're looking for X,65,pen,tray,cup,shared_truth,"If you're looking for the pen, it's in the tray.","Thanks, I'll look in the tray. LEAVE",tray,1
If you're looking for X,65,pen,tray,cup,ignorance,"If you're looking for the pen, it's in the tray.",I'll check the tray. LEAVE.,tray,1
If you're looking for X,66,phone,table,couch,shared_truth,"If you're looking for the phone, it's on the table.","Perfect, I'll check the table. LEAVE",table,1
If you're looking for X,66,phone,table,couch,ignorance,"If you're looking for the phone, it's on the table.","Thanks, I'll check the table. LEAVE",table,1
If you're looking for X,67,photo,drawer,shelf,shared_truth,"If you're looking for the photo, it's in the drawer.","Great, I'll check the drawer. LEAVE",drawer,1
If you're looking for X,67,photo,drawer,shelf,ignorance,"If you're looking for the photo, it's in the drawer.",I'll check the drawer then. LEAVE,drawer,1
If you're looking for X,68,pillow,bed,couch,shared_truth,"If you're looking for the pillow, it's on the bed.",I'll check the bed then. LEAVE,bed,1
If you're looking for X,68,pillow,bed,couch,ignorance,"If you're looking for the pillow, it's on the bed.",I'll check the bed. LEAVE,bed,1
If you're looking for X,69,plate,sink,table,shared_truth,"If you're looking for the plate, it's on the sink.","Thanks, I'll check the sink. LEAVE",sink,1
If you're looking for X,69,plate,sink,table,ignorance,"If you're looking for the plate, it's on the sink.","Thanks, I'll check the sink. LEAVE.",sink,1
If you're looking for X,70,plug,floor,desk,shared_truth,"If you're looking for the plug, it's on the floor.","Thanks, I'll check the floor then. LEAVE",floor,1
If you're looking for X,70,plug,floor,desk,ignorance,"If you're looking for the plug, it's on the floor.","Thanks, I'll look on the floor. LEAVE.",floor,1
If you're looking for X,71,rake,shed,fence,shared_truth,"If you're looking for the rake, it's over by the shed.","Great, I'll go look by the shed. LEAVE",shed,1
If you're looking for X,71,rake,shed,fence,ignorance,"If you're looking for the rake, it's over by the shed.","Thanks, I'll look by the shed. LEAVE",shed,1
If you're looking for X,72,receipt,pocket,folder,shared_truth,"If you're looking for the receipt, it's in the coat pocket.","Thanks, I'll check the coat pocket. LEAVE",pocket,1
If you're looking for X,72,receipt,pocket,folder,ignorance,"If you're looking for the receipt, it's in the coat pocket.",I'll check the coat pocket then. LEAVE,pocket,1
If you're looking for X,73,remote,table,sofa cushion,shared_truth,"If you're looking for the remote, it's on the coffee table.","Thanks, I'll check the coffee table. LEAVE",table,1
If you're looking for X,73,remote,table,sofa cushion,ignorance,"If you're looking for the remote, it's on the coffee table.","Thanks, I'll look on the coffee table. LEAVE",table,1
If you're looking for X,74,ring,box,pouch,shared_truth,"If you're looking for the ring, it's in the small box.",Thank you. I'm going to check the small box. LEAVE,box,1
If you're looking for X,74,ring,box,pouch,ignorance,"If you're looking for the ring, it's in the small box.","Thanks, I'll check the small box. LEAVE.",box,1
If you're looking for X,75,rope,shed,car trunk,shared_truth,"If you're looking for the rope, it's in the shed.","Perfect, I'll check the shed. LEAVE.",shed,1
If you're looking for X,75,rope,shed,car trunk,ignorance,"If you're looking for the rope, it's in the shed.","Thanks, I'll check the shed then. LEAVE",shed,1
If you're looking for X,76,scale,shelf,counter,shared_truth,"If you're looking for the scale, it's on the shelf.","Thanks, I'll check the shelf. LEAVE",shelf,1
If you're looking for X,76,scale,shelf,counter,ignorance,"If you're looking for the scale, it's on the shelf.","Got it, I'll look on the shelf. LEAVE",shelf,1
If you're looking for X,77,scarf,closet,bench,shared_truth,"If you're looking for the scarf, it's in the closet.","Thanks, I'll check the closet. LEAVE",closet,1
If you're looking for X,77,scarf,closet,bench,ignorance,"If you're looking for the scarf, it's in the closet.","Thanks, I will look in the closet. LEAVE.",closet,1
If you're looking for X,78,scissors,desk,cabinet,shared_truth,"If you're looking for the scissors, it's on the desk.","Thanks, I'll check the desk. LEAVE.",desk,1
If you're looking for X,78,scissors,desk,cabinet,ignorance,"If you're looking for the scissors, it's on the desk.","Thanks, I'll check the desk. LEAVE.",desk,1
If you're looking for X,79,seed,bag,pot,shared_truth,"If you're looking for the seed, it's in the bag.",I'll check the bag then. LEAVE,bag,1
If you're looking for X,79,seed,bag,pot,ignorance,"If you're looking for the seed, it's in the bag.","Thanks, I'll check the bag. LEAVE.",bag,1
If you're looking for X,80,shovel,yard,tool shed,shared_truth,"If you're looking for the shovel, it's in the yard.","Thanks, I'll check the yard then. LEAVE.",yard,1
If you're looking for X,80,shovel,yard,tool shed,ignorance,"If you're looking for the shovel, it's in the yard.","Thanks, I'll go look in the yard then. LEAVE",yard,1
If you're looking for X,81,soap,ledge,shelf,shared_truth,"If you're looking for the soap, it's on the window ledge.","Thanks, I'll check the window ledge. LEAVE",ledge,1
If you're looking for X,81,soap,ledge,shelf,ignorance,"If you're looking for the soap, it's on the window ledge.","Thanks, I'll check the window ledge. LEAVE.",ledge,1
If you're looking for X,82,sponge,counter,sink,shared_truth,"If you're looking for the sponge, it's on the counter.","Thanks, I'll look on the counter. LEAVE",counter,1
If you're looking for X,82,sponge,counter,sink,ignorance,"If you're looking for the sponge, it's on the counter.","Thanks, I'll check the counter. LEAVE.",counter,1
If you're looking for X,83,spoon,bowl,cup,shared_truth,"If you're looking for the spoon, it's in the bowl.",I'll check the bowl then. LEAVE,bowl,1
If you're looking for X,83,spoon,bowl,cup,ignorance,"If you're looking for the spoon, it's in the bowl.",I'll check the bowl then. LEAVE,bowl,1
If you're looking for X,84,stamp,drawer,tray,shared_truth,"If you're looking for the stamp, it's in the drawer.","Thanks, I'll check the drawer. LEAVE",drawer,1
If you're looking for X,84,stamp,drawer,tray,ignorance,"If you're looking for the stamp, it's in the drawer.","Thanks, I'll check the drawer. LEAVE",drawer,1
If you're looking for X,85,stapler,desk,drawer,shared_truth,"If you're looking for the stapler, it's on the desk.","Thanks, I'll check the desk. LEAVE",desk,1
If you're looking for X,85,stapler,desk,drawer,ignorance,"If you're looking for the stapler, it's on the desk.","Thanks, I'll check the desk. LEAVE",desk,1
If you're looking for X,86,stone,pot,window ledge,shared_truth,"If you're looking for the stone, it's on the pot.",I'll check the pot. LEAVE.,pot,1
If you're looking for X,86,stone,pot,window ledge,ignorance,"If you're looking for the stone, it's on the pot.","Thanks, Mia. I'll check the pot. LEAVE",pot,1
If you're looking for X,87,strap,drawer,hook,shared_truth,"If you're looking for the strap, it's on the drawer.","Perfect, I'll check the drawer. LEAVE.",drawer,1
If you're looking for X,87,strap,drawer,hook,ignorance,"If you're looking for the strap, it's on the drawer.","Thanks, I'll check the drawer. LEAVE",drawer,1
If you're looking for X,88,tape,shelf,drawer,shared_truth,"If you're looking for the tape, it's on the shelf.","Thanks, I'll check the shelf. LEAVE",shelf,1
If you're looking for X,88,tape,shelf,drawer,ignorance,"If you're looking for the tape, it's on the shelf.","Got it, I'll look on the shelf. LEAVE",shelf,1
If you're looking for X,89,ticket,pocket,bag,shared_truth,"If you're looking for the ticket, it's in the coat pocket.","Great, I will check the coat pocket. LEAVE.",pocket,1
If you're looking for X,89,ticket,pocket,bag,ignorance,"If you're looking for the ticket, it's in the coat pocket.",I'll check the coat pocket. LEAVE,pocket,1
If you're looking for X,90,towel,rack,laundry basket,shared_truth,"If you're looking for the towel, it's on the rack.",I'll check the rack then. LEAVE,rack,1
If you're looking for X,90,towel,rack,laundry basket,ignorance,"If you're looking for the towel, it's on the rack.","Thanks, I'll check the towel rack. LEAVE",rack,1
If you're looking for X,91,toy,bin,rug,shared_truth,"If you're looking for the toy, it's on the bin.","Great, I'll look on the bin then. LEAVE",bin,1
If you're looking for X,91,toy,bin,rug,ignorance,"If you're looking for the toy, it's on the bin.","Thanks, I'll look in the toy bin. LEAVE.",bin,1
If you're looking for X,92,tray,oven,counter,shared_truth,"If you're looking for the tray, it's right there on the oven.","I'll check the oven then, thanks. LEAVE",oven,1
If you're looking for X,92,tray,oven,counter,ignorance,"If you're looking for the tray, it's right there on the oven.","Thanks, I'll check the oven. LEAVE.",oven,1
If you're looking for X,93,umbrella,hook,umbrella stand,shared_truth,"If you're looking for the umbrella, it's on the wall hook.","Thanks, I'll check the wall hook then. LEAVE",hook,1
If you're looking for X,93,umbrella,hook,umbrella stand,ignorance,"If you're looking for the umbrella, it's on the wall hook.","Thanks, I will check the wall hook. LEAVE",hook,1
If you're looking for X,94,vase,mantle,table,shared_truth,"If you're looking for the vase, it's on the mantle.","Thanks, I will check the mantle. LEAVE",mantle,1
If you're looking for X,94,vase,mantle,table,ignorance,"If you're looking for the vase, it's on the mantle.","Thanks, I'll look on the mantle. LEAVE",mantle,1
If you're looking for X,95,wallet,drawer,desk,shared_truth,"If you're looking for the wallet, it's in the drawer.","Thanks, I'll check the drawer. LEAVE",drawer,1
If you're looking for X,95,wallet,drawer,desk,ignorance,"If you're looking for the wallet, it's in the drawer.",I'll check the drawer. LEAVE,drawer,1
If you're looking for X,96,watch,nightstand,dresser,shared_truth,"If you're looking for the watch, it's on the nightstand.","Thanks, I'll check the nightstand. LEAVE.",nightstand,1
If you're looking for X,96,watch,nightstand,dresser,ignorance,"If you're looking for the watch, it's on the nightstand.","Thanks, I'll check the nightstand. LEAVE.",nightstand,1
If you're looking for X,97,whisk,drawer,hook,shared_truth,"If you're looking for the whisk, it's on the drawer.","Thank you, I will check the drawer then. LEAVE.",drawer,1
If you're looking for X,97,whisk,drawer,hook,ignorance,"If you're looking for the whisk, it's on the drawer.",I'll check the drawer then. LEAVE,drawer,1
If you're looking for X,98,wire,bench,drawer,shared_truth,"If you're looking for the wire, it's on the bench.",I'll check the bench then. LEAVE.,bench,1
If you're looking for X,98,wire,bench,drawer,ignorance,"If you're looking for the wire, it's on the bench.",I'll check the bench. LEAVE.,bench,1
If you're looking for X,99,wrench,toolbox,workbench,shared_truth,"If you're looking for the wrench, it's on the toolbox.",I'll check the toolbox then. LEAVE.,toolbox,1
If you're looking for X,99,wrench,toolbox,workbench,ignorance,"If you're looking for the wrench, it's on the toolbox.","Thanks, I will check the toolbox. LEAVE",toolbox,1
Are you looking for X?,0,apron,drawer,hook,shared_truth,Are you looking for the apron? It's on the drawer.,"Thanks, I'll check the drawer. LEAVE.",drawer,1
Are you looking for X?,0,apron,drawer,hook,ignorance,Are you looking for the apron? It's on the drawer.,Thanks! I will check the drawer then. LEAVE,drawer,1
Are you looking for X?,1,badge,desk,hook by the door,shared_truth,Are you looking for the badge? It's on the desk.,"Thanks, I'll check the desk. LEAVE.",desk,1
Are you looking for X?,1,badge,desk,hook by the door,ignorance,Are you looking for the badge? It's on the desk.,"Thanks, I'll check the desk. LEAVE",desk,1
Are you looking for X?,2,ball,garage,yard,shared_truth,Are you looking for the ball? It's in the garage.,Thanks! I'll check the garage. LEAVE,garage,1
Are you looking for X?,2,ball,garage,yard,ignorance,Are you looking for the ball? It's in the garage.,I'll check the garage. LEAVE,garage,1
Are you looking for X?,3,belt,chair,closet,shared_truth,Are you looking for the belt? It's on the chair.,"Thanks, I'll check the chair. LEAVE",chair,1
Are you looking for X?,3,belt,chair,closet,ignorance,Are you looking for the belt? It's on the chair.,I'll check the chair then. LEAVE,chair,1
Are you looking for X?,4,binder,desk,shelf,shared_truth,Are you looking for the binder? It's on the desk.,"Thanks, I'll check the desk. LEAVE.",desk,1
Are you looking for X?,4,binder,desk,shelf,ignorance,Are you looking for the binder? It's on the desk.,"Thanks, I'll look on the desk. LEAVE.",desk,1
Are you looking for X?,5,blanket,bed,chair,shared_truth,Are you looking for the blanket? It's on the bed.,"Thanks, I'll check the bed. LEAVE",bed,1
Are you looking for X?,5,blanket,bed,chair,ignorance,Are you looking for the blanket? It's on the bed.,I'll look on the bed then. LEAVE,bed,1
Are you looking for X?,6,book,shelf,bag,shared_truth,Are you looking for the book? It's on the shelf.,"Thanks, I'll look on the shelf. LEAVE",shelf,1
Are you looking for X?,6,book,shelf,bag,ignorance,Are you looking for the book? It's on the shelf.,"Thanks, I'll check the shelf. LEAVE",shelf,1
Are you looking for X?,7,bottle,counter,fridge,shared_truth,Are you looking for the bottle? It's on the counter.,"Thanks, I will look on the counter. LEAVE",counter,1
Are you looking for X?,7,bottle,counter,fridge,ignorance,Are you looking for the bottle? It's on the counter.,"Thanks, I'll check the counter. LEAVE",counter,1
Are you looking for X?,8,bowl,table,counter,shared_truth,Are you looking for the bowl? It's on the table.,"Thanks, I'll check the table. LEAVE",table,1
