model,scenario_idx,turn,speaker,text,acts,parsed_alloc,speaker_score
DeepSeek-R1-Distill-Llama-8B,96,1,Ava Thompson,I take the audio cable and the pop filter; you take the remaining microphone stand.,counter_propose,"{""pop filter"": 0, ""microphone stand"": 1, ""audio cable"": 0}",9
DeepSeek-R1-Distill-Llama-8B,96,2,Mia Sanders,I take 1 microphone stand and 1 audio cable; you take 2 microphone stands and the pop filter.,"counter_propose,insist","{""pop filter"": 0, ""microphone stand"": 1, ""audio cable"": 1}",3
DeepSeek-R1-Distill-Llama-8B,96,3,Ava Thompson,I take the audio cable and the pop filter; you take the remaining microphone stand.,"counter_propose,insist","{""pop filter"": 0, ""microphone stand"": 1, ""audio cable"": 0}",9
DeepSeek-R1-Distill-Llama-8B,96,4,Mia Sanders,I take the pop filter and 1 microphone stand; you take the remaining 2 microphone stands and the aud,counter_propose,"{""pop filter"": 1, ""microphone stand"": 1, ""audio cable"": 0}",5
DeepSeek-R1-Distill-Llama-8B,96,5,Ava Thompson,,small_talk,,
DeepSeek-R1-Distill-Llama-8B,96,6,Mia Sanders,I take 1 microphone stand and the pop filter; you take the remaining 2 microphone stands and the aud,"counter_propose,insist","{""pop filter"": 1, ""microphone stand"": 1, ""audio cable"": 0}",5
DeepSeek-R1-Distill-Llama-8B,96,7,Ava Thompson,I take the pop filter and the audio cable; you take the remaining 2 microphone stands.,"counter_propose,concede","{""pop filter"": 0, ""microphone stand"": 2, ""audio cable"": 0}",8
DeepSeek-R1-Distill-Llama-8B,96,8,Mia Sanders,I take 1 microphone stand and the pop filter; you take the remaining 2 microphone stands and the aud,"counter_propose,insist","{""pop filter"": 1, ""microphone stand"": 1, ""audio cable"": 0}",5
DeepSeek-R1-Distill-Llama-8B,96,9,Ava Thompson,I take the pop filter and the audio cable; you take the remaining 2 microphone stands.,"counter_propose,insist","{""pop filter"": 0, ""microphone stand"": 2, ""audio cable"": 0}",8
DeepSeek-R1-Distill-Llama-8B,96,10,Mia Sanders,I take the pop filter and 1 microphone stand; you take 2 microphone stands and the audio cable.,"counter_propose,insist","{""pop filter"": 1, ""microphone stand"": 1, ""audio cable"": 0}",5
DeepSeek-R1-Distill-Llama-8B,96,11,Ava Thompson,,small_talk,,
DeepSeek-R1-Distill-Llama-8B,96,12,Mia Sanders,I take 1 microphone stand and the pop filter; you take 2 microphone stands and the audio cable.,"counter_propose,insist","{""pop filter"": 1, ""microphone stand"": 1, ""audio cable"": 0}",5
DeepSeek-R1-Distill-Llama-8B,96,13,Ava Thompson,I take the audio cable and the pop filter; you take the remaining 2 microphone stands.,"counter_propose,insist","{""pop filter"": 0, ""microphone stand"": 2, ""audio cable"": 0}",8
DeepSeek-R1-Distill-Llama-8B,96,14,Mia Sanders,I take 1 microphone stand and the pop filter; you take 2 microphone stands and the audio cable.,"counter_propose,insist","{""pop filter"": 1, ""microphone stand"": 1, ""audio cable"": 0}",5
DeepSeek-R1-Distill-Llama-8B,96,15,Ava Thompson,I take the pop filter and the audio cable; you take the remaining 2 microphone stands.,"counter_propose,insist","{""pop filter"": 0, ""microphone stand"": 2, ""audio cable"": 0}",8
DeepSeek-R1-Distill-Llama-8B,97,0,Mia Sanders,I'll take the green screen; you take the ring light and the webcams.,propose,"{""ring light"": 0, ""webcam mount"": 0, ""green screen"": 1}",4
DeepSeek-R1-Distill-Llama-8B,97,1,Ava Thompson,I take the ring light and the three webcam mounts; you take the green screen.,accept,"{""ring light"": 0, ""webcam mount"": 0, ""green screen"": 1}",9
DeepSeek-R1-Distill-Llama-8B,98,0,Mia Sanders,"""I'll take the cable tie pack and 1 wall plate; you take the rest.""",propose,"{""ethernet cable"": 1, ""wall plate"": 1, ""cable tie pack"": 1}",7
DeepSeek-R1-Distill-Llama-8B,98,1,Ava Thompson,I'll take the Ethernet cable.,counter_propose,"{""ethernet cable"": 0, ""wall plate"": 4, ""cable tie pack"": 0}",10
DeepSeek-R1-Distill-Llama-8B,98,2,Mia Sanders,"Mia Sanders said""I take 3 wall plates; you take the Ethernet cable.""","counter_propose,concede","{""ethernet cable"": 0, ""wall plate"": 3, ""cable tie pack"": 0}",3
DeepSeek-R1-Distill-Llama-8B,98,3,Ava Thompson,I'll take the cable tie pack instead.,"counter_propose,insist","{""ethernet cable"": 0, ""wall plate"": 4, ""cable tie pack"": 0}",10
DeepSeek-R1-Distill-Llama-8B,98,4,Mia Sanders,"""I keep the cable tie pack and 3 wall plates; you take 1 wall plate.""",counter_propose,"{""ethernet cable"": 1, ""wall plate"": 3, ""cable tie pack"": 1}",9
DeepSeek-R1-Distill-Llama-8B,98,5,Ava Thompson,I take the Ethernet cable; you take the cable tie pack and 3 wall plates.,"counter_propose,insist","{""ethernet cable"": 0, ""wall plate"": 4, ""cable tie pack"": 0}",10
DeepSeek-R1-Distill-Llama-8B,98,6,Mia Sanders,I take the cable tie pack and 3 wall plates; you take 1 wall plate and the Ethernet cable.,"counter_propose,insist","{""ethernet cable"": 1, ""wall plate"": 3, ""cable tie pack"": 1}",9
DeepSeek-R1-Distill-Llama-8B,98,7,Ava Thompson,I take the cable tie pack; you take the Ethernet cable and 3 wall plates.,"counter_propose,insist","{""ethernet cable"": 0, ""wall plate"": 4, ""cable tie pack"": 0}",10
DeepSeek-R1-Distill-Llama-8B,98,8,Mia Sanders,I take the Ethernet cable and 3 wall plates; you take the cable tie pack and 1 wall plate.,"counter_propose,insist","{""ethernet cable"": 1, ""wall plate"": 3, ""cable tie pack"": 1}",9
DeepSeek-R1-Distill-Llama-8B,98,9,Ava Thompson,I take the cable tie pack and 1 wall plate.,counter_propose,"{""ethernet cable"": 0, ""wall plate"": 3, ""cable tie pack"": 0}",10
DeepSeek-R1-Distill-Llama-8B,98,10,Mia Sanders,I take the Ethernet cable and 3 wall plates; you take the cable tie pack and 1 wall plate.,"counter_propose,insist","{""ethernet cable"": 1, ""wall plate"": 3, ""cable tie pack"": 1}",9
DeepSeek-R1-Distill-Llama-8B,98,11,Ava Thompson,I take the Ethernet cable; you take the cable tie pack and 3 wall plates.,counter_propose,"{""ethernet cable"": 0, ""wall plate"": 4, ""cable tie pack"": 0}",10
DeepSeek-R1-Distill-Llama-8B,98,12,Mia Sanders,I take the cable tie pack and 3 wall plates; you take the Ethernet cable and 1 wall plate.,"counter_propose,insist","{""ethernet cable"": 1, ""wall plate"": 3, ""cable tie pack"": 1}",9
DeepSeek-R1-Distill-Llama-8B,98,13,Ava Thompson,I take the Ethernet cable and 1 wall plate; you take the cable tie pack and 3 wall plates.,counter_propose,"{""ethernet cable"": 0, ""wall plate"": 3, ""cable tie pack"": 0}",10
DeepSeek-R1-Distill-Llama-8B,98,14,Mia Sanders,I take the Ethernet cable and 3 wall plates; you take the cable tie pack and 1 wall plate.,"counter_propose,insist","{""ethernet cable"": 1, ""wall plate"": 3, ""cable tie pack"": 1}",9
DeepSeek-R1-Distill-Llama-8B,98,15,Ava Thompson,I take the cable tie pack and 1 wall plate; you take the Ethernet cable and 3 wall plates.,"counter_propose,insist","{""ethernet cable"": 0, ""wall plate"": 3, ""cable tie pack"": 0}",10
DeepSeek-R1-Distill-Llama-8B,99,0,Mia Sanders,you take the filament spool and the nozzle set; I take the print beds.,propose,"{""filament spool"": 1, ""print bed"": 0, ""nozzle set"": 1}",10
DeepSeek-R1-Distill-Llama-8B,99,1,Ava Thompson,,small_talk,,
DeepSeek-R1-Distill-Llama-8B,99,2,Mia Sanders,You take the print beds; I take the nozzle set.,"propose,concede","{""filament spool"": 0, ""print bed"": 4, ""nozzle set"": 0}",0
DeepSeek-R1-Distill-Llama-8B,99,3,Ava Thompson,I take the filament spool; you take the print beds and the nozzle set.,counter_propose,"{""filament spool"": 0, ""print bed"": 4, ""nozzle set"": 1}",5
DeepSeek-R1-Distill-Llama-8B,99,4,Mia Sanders,I take the print beds and the nozzle set; you take the filament spool.,accept,"{""filament spool"": 0, ""print bed"": 4, ""nozzle set"": 1}",4
DeepSeek-R1-Distill-Llama-8B,9,0,Mia Sanders,I take 2 key hooks and 2 umbrella stands; you take 1 key hook and 0 umbrella stands.,propose,"{""doormat"": 0, ""key hook"": 2, ""umbrella stand"": 2}",8
DeepSeek-R1-Distill-Llama-8B,9,1,Ava Thompson,"I take 1 doormat and 2 key hooks; you take 1 doormat, 1 key hook, and 2 umbrella stands.",counter_propose,"{""doormat"": 1, ""key hook"": 1, ""umbrella stand"": 2}",6
DeepSeek-R1-Distill-Llama-8B,9,2,Mia Sanders,"I take 1 key hook and 1 umbrella stand; you take 1 key hook, 1 doormat, and 1 umbrella stand.","counter_propose,concede","{""doormat"": 0, ""key hook"": 1, ""umbrella stand"": 1}",4
DeepSeek-R1-Distill-Llama-8B,9,3,Ava Thompson,I take 2 doormats and 2 key hooks; you take 1 key hook and 2 umbrella stands.,counter_propose,"{""doormat"": 0, ""key hook"": 1, ""umbrella stand"": 2}",8
DeepSeek-R1-Distill-Llama-8B,9,4,Mia Sanders,I take 1 key hook and 2 umbrella stands; you take 2 key hooks and 2 doormats.,accept,"{""doormat"": 0, ""key hook"": 1, ""umbrella stand"": 2}",6
Meta-Llama-3-8B-Instruct,0,0,Mia Sanders,I'll take the 2 mugs and 1 plate.,propose,"{""mug"": 2, ""plate"": 1, ""bowl"": 0}",6
Meta-Llama-3-8B-Instruct,0,1,Ava Thompson,I'll take the bowl and 2 plates.,accept,"{""mug"": 2, ""plate"": 1, ""bowl"": 0}",9
Meta-Llama-3-8B-Instruct,10,0,Mia Sanders,I'll take the pen.,propose,"{""notebook"": 0, ""pen"": 1, ""marker"": 0}",6
Meta-Llama-3-8B-Instruct,10,1,Ava Thompson,I'll take the notebook.,counter_propose,"{""notebook"": 0, ""pen"": 1, ""marker"": 3}",8
Meta-Llama-3-8B-Instruct,10,2,Mia Sanders,I'll take the markers.,"counter_propose,concede","{""notebook"": 0, ""pen"": 0, ""marker"": 3}",3
Meta-Llama-3-8B-Instruct,10,3,Ava Thompson,I'll take the markers.,"counter_propose,concede","{""notebook"": 1, ""pen"": 1, ""marker"": 0}",0
Meta-Llama-3-8B-Instruct,10,4,Mia Sanders,I'll take the notebook.,"counter_propose,concede","{""notebook"": 1, ""pen"": 0, ""marker"": 0}",1
Meta-Llama-3-8B-Instruct,10,5,Ava Thompson,I'll take the pen.,counter_propose,"{""notebook"": 1, ""pen"": 0, ""marker"": 3}",2
Meta-Llama-3-8B-Instruct,10,6,Mia Sanders,I'll take the notebook.,"counter_propose,insist","{""notebook"": 1, ""pen"": 0, ""marker"": 0}",1
Meta-Llama-3-8B-Instruct,10,7,Ava Thompson,I'll take the notebook.,counter_propose,"{""notebook"": 0, ""pen"": 1, ""marker"": 3}",8
Meta-Llama-3-8B-Instruct,10,8,Mia Sanders,I'll take the pen.,counter_propose,"{""notebook"": 0, ""pen"": 1, ""marker"": 0}",6
Meta-Llama-3-8B-Instruct,10,9,Ava Thompson,I'll take the notebook.,"counter_propose,insist","{""notebook"": 0, ""pen"": 1, ""marker"": 3}",8
Meta-Llama-3-8B-Instruct,10,10,Mia Sanders,I'll take the notebook.,"counter_propose,concede","{""notebook"": 1, ""pen"": 0, ""marker"": 0}",1
Meta-Llama-3-8B-Instruct,10,11,Ava Thompson,I'll take the markers.,"counter_propose,concede","{""notebook"": 1, ""pen"": 1, ""marker"": 0}",0
Meta-Llama-3-8B-Instruct,10,12,Mia Sanders,I'll take the pen and markers.,counter_propose,"{""notebook"": 0, ""pen"": 1, ""marker"": 0}",6
Meta-Llama-3-8B-Instruct,10,13,Ava Thompson,I'll take the notebook.,counter_propose,"{""notebook"": 0, ""pen"": 1, ""marker"": 3}",8
Meta-Llama-3-8B-Instruct,10,14,Mia Sanders,I'll take the notebook.,"counter_propose,concede","{""notebook"": 1, ""pen"": 0, ""marker"": 0}",1
Meta-Llama-3-8B-Instruct,10,15,Ava Thompson,I'll take the notebook.,"counter_propose,insist","{""notebook"": 0, ""pen"": 1, ""marker"": 3}",8
Meta-Llama-3-8B-Instruct,11,0,Mia Sanders,I'll take the stapler.,propose,"{""stapler"": 1, ""tape dispenser"": 0, ""folder"": 0}",8
Meta-Llama-3-8B-Instruct,11,1,Ava Thompson,I'll take the tape dispenser.,counter_propose,"{""stapler"": 1, ""tape dispenser"": 0, ""folder"": 3}",6
Meta-Llama-3-8B-Instruct,11,2,Mia Sanders,I'll take the folders.,"counter_propose,concede","{""stapler"": 0, ""tape dispenser"": 0, ""folder"": 3}",0
Meta-Llama-3-8B-Instruct,11,3,Ava Thompson,I'll take the folders.,"counter_propose,concede","{""stapler"": 1, ""tape dispenser"": 1, ""folder"": 0}",3
Meta-Llama-3-8B-Instruct,11,4,Mia Sanders,"You can't have the folders, I want them.","counter_propose,insist","{""stapler"": 0, ""tape dispenser"": 0, ""folder"": 3}",0
Meta-Llama-3-8B-Instruct,11,5,Ava Thompson,I'll give you the folders.,"counter_propose,insist","{""stapler"": 1, ""tape dispenser"": 1, ""folder"": 0}",3
Meta-Llama-3-8B-Instruct,11,6,Mia Sanders,I'll take the folders and the stapler.,counter_propose,"{""stapler"": 1, ""tape dispenser"": 0, ""folder"": 3}",8
Meta-Llama-3-8B-Instruct,11,7,Ava Thompson,I'll take the folders and the tape dispenser.,counter_propose,"{""stapler"": 1, ""tape dispenser"": 0, ""folder"": 0}",9
Meta-Llama-3-8B-Instruct,11,8,Mia Sanders,I'll take the folders and the stapler.,"counter_propose,insist","{""stapler"": 1, ""tape dispenser"": 0, ""folder"": 3}",8
Meta-Llama-3-8B-Instruct,11,9,Ava Thompson,I'll take the folders.,"counter_propose,concede","{""stapler"": 1, ""tape dispenser"": 1, ""folder"": 0}",3
Meta-Llama-3-8B-Instruct,11,10,Mia Sanders,I'll take the stapler and the folders.,"counter_propose,insist","{""stapler"": 1, ""tape dispenser"": 0, ""folder"": 3}",8
Meta-Llama-3-8B-Instruct,11,11,Ava Thompson,I'll take the folders.,"counter_propose,insist","{""stapler"": 1, ""tape dispenser"": 1, ""folder"": 0}",3
Meta-Llama-3-8B-Instruct,11,12,Mia Sanders,"You can't have the folders, I'll take the stapler and the tape dispenser.",counter_propose,"{""stapler"": 1, ""tape dispenser"": 1, ""folder"": 3}",10
Meta-Llama-3-8B-Instruct,11,13,Ava Thompson,I'll take the folders.,"counter_propose,insist","{""stapler"": 1, ""tape dispenser"": 1, ""folder"": 0}",3
Meta-Llama-3-8B-Instruct,11,14,Mia Sanders,I'll take the stapler and the folders.,"counter_propose,concede","{""stapler"": 1, ""tape dispenser"": 0, ""folder"": 3}",8
Meta-Llama-3-8B-Instruct,11,15,Ava Thompson,I'll take the folders.,"counter_propose,insist","{""stapler"": 1, ""tape dispenser"": 1, ""folder"": 0}",3
Meta-Llama-3-8B-Instruct,12,0,Mia Sanders,I'll take the calculator and one binder.,propose,"{""binder"": 1, ""calculator"": 1, ""desk organizer"": 0}",2
Meta-Llama-3-8B-Instruct,12,1,Ava Thompson,I'll take the other binder and one desk organizer.,counter_propose,"{""binder"": 2, ""calculator"": 1, ""desk organizer"": 1}",4
Meta-Llama-3-8B-Instruct,12,2,Mia Sanders,I'll take the other desk organizer.,counter_propose,"{""binder"": 0, ""calculator"": 0, ""desk organizer"": 1}",3
Meta-Llama-3-8B-Instruct,12,3,Ava Thompson,I'll take the remaining desk organizer.,counter_propose,"{""binder"": 3, ""calculator"": 1, ""desk organizer"": 1}",4
Meta-Llama-3-8B-Instruct,12,4,Mia Sanders,I'll take the remaining desk organizer.,"counter_propose,insist","{""binder"": 0, ""calculator"": 0, ""desk organizer"": 1}",3
Meta-Llama-3-8B-Instruct,12,5,Ava Thompson,I'll take the remaining binder.,"counter_propose,concede","{""binder"": 2, ""calculator"": 1, ""desk organizer"": 2}",0
Meta-Llama-3-8B-Instruct,12,6,Mia Sanders,I'll take the calculator.,"counter_propose,concede","{""binder"": 0, ""calculator"": 1, ""desk organizer"": 0}",1
Meta-Llama-3-8B-Instruct,12,7,Ava Thompson,I'll take the calculator.,counter_propose,"{""binder"": 3, ""calculator"": 0, ""desk organizer"": 2}",2
Meta-Llama-3-8B-Instruct,12,8,Mia Sanders,I'll take the calculator.,"counter_propose,insist","{""binder"": 0, ""calculator"": 1, ""desk organizer"": 0}",1
Meta-Llama-3-8B-Instruct,12,9,Ava Thompson,I'll take the calculator.,"counter_propose,insist","{""binder"": 3, ""calculator"": 0, ""desk organizer"": 2}",2
Meta-Llama-3-8B-Instruct,12,10,Mia Sanders,I'll take the remaining binder.,counter_propose,"{""binder"": 1, ""calculator"": 0, ""desk organizer"": 0}",1
Meta-Llama-3-8B-Instruct,12,11,Ava Thompson,I'll take the calculator.,"counter_propose,insist","{""binder"": 3, ""calculator"": 0, ""desk organizer"": 2}",2
Meta-Llama-3-8B-Instruct,12,12,Mia Sanders,I'll take the remaining binder.,"counter_propose,insist","{""binder"": 1, ""calculator"": 0, ""desk organizer"": 0}",1
Meta-Llama-3-8B-Instruct,12,13,Ava Thompson,I'll take the remaining binder.,"counter_propose,concede","{""binder"": 2, ""calculator"": 1, ""desk organizer"": 2}",0
Meta-Llama-3-8B-Instruct,12,14,Mia Sanders,I'll take the other desk organizer.,counter_propose,"{""binder"": 0, ""calculator"": 0, ""desk organizer"": 1}",3
Meta-Llama-3-8B-Instruct,12,15,Ava Thompson,I'll take the remaining binder.,"counter_propose,insist","{""binder"": 2, ""calculator"": 1, ""desk organizer"": 2}",0
Meta-Llama-3-8B-Instruct,13,0,Mia Sanders,I'll take the marker set.,propose,"{""poster board"": 0, ""marker set"": 1, ""name tag"": 0}",2
Meta-Llama-3-8B-Instruct,13,1,Ava Thompson,I'll take the name tags.,counter_propose,"{""poster board"": 3, ""marker set"": 1, ""name tag"": 0}",6
Meta-Llama-3-8B-Instruct,13,2,Mia Sanders,I'll take the poster boards.,"counter_propose,concede","{""poster board"": 3, ""marker set"": 0, ""name tag"": 0}",0
Meta-Llama-3-8B-Instruct,13,3,Ava Thompson,I'll take the marker set.,"counter_propose,concede","{""poster board"": 3, ""marker set"": 0, ""name tag"": 2}",1
Meta-Llama-3-8B-Instruct,13,4,Mia Sanders,I'll take the name tags.,counter_propose,"{""poster board"": 0, ""marker set"": 0, ""name tag"": 2}",8
Meta-Llama-3-8B-Instruct,13,5,Ava Thompson,I'll take the poster boards.,counter_propose,"{""poster board"": 0, ""marker set"": 1, ""name tag"": 2}",3
Meta-Llama-3-8B-Instruct,13,6,Mia Sanders,I'll take the poster boards.,"counter_propose,concede","{""poster board"": 3, ""marker set"": 0, ""name tag"": 0}",0
Meta-Llama-3-8B-Instruct,13,7,Ava Thompson,I'll take the name tags.,counter_propose,"{""poster board"": 3, ""marker set"": 1, ""name tag"": 0}",6
Meta-Llama-3-8B-Instruct,13,8,Mia Sanders,I'll take the name tags.,counter_propose,"{""poster board"": 0, ""marker set"": 0, ""name tag"": 2}",8
Meta-Llama-3-8B-Instruct,13,9,Ava Thompson,I'll take the poster boards.,"counter_propose,concede","{""poster board"": 0, ""marker set"": 1, ""name tag"": 2}",3
Meta-Llama-3-8B-Instruct,13,10,Mia Sanders,I'll take the name tags.,"counter_propose,insist","{""poster board"": 0, ""marker set"": 0, ""name tag"": 2}",8
Meta-Llama-3-8B-Instruct,13,11,Ava Thompson,I'll take the poster boards.,"counter_propose,insist","{""poster board"": 0, ""marker set"": 1, ""name tag"": 2}",3
Meta-Llama-3-8B-Instruct,13,12,Mia Sanders,I'll take the name tags.,"counter_propose,insist","{""poster board"": 0, ""marker set"": 0, ""name tag"": 2}",8
Meta-Llama-3-8B-Instruct,13,13,Ava Thompson,I'll take the marker set.,"counter_propose,concede","{""poster board"": 3, ""marker set"": 0, ""name tag"": 2}",1
Meta-Llama-3-8B-Instruct,13,14,Mia Sanders,I'll take the name tags.,"counter_propose,insist","{""poster board"": 0, ""marker set"": 0, ""name tag"": 2}",8
Meta-Llama-3-8B-Instruct,13,15,Ava Thompson,I'll take the poster boards.,counter_propose,"{""poster board"": 0, ""marker set"": 1, ""name tag"": 2}",3
Meta-Llama-3-8B-Instruct,14,0,Mia Sanders,"I'll take the eraser and one chalk box, and you can take the other chalk box and the 3 whiteboard ma",propose,"{""whiteboard marker"": 3, ""eraser"": 1, ""chalk box"": 1}",9
Meta-Llama-3-8B-Instruct,14,1,Ava Thompson,I'll take the eraser and the 3 whiteboard markers.,counter_propose,"{""whiteboard marker"": 0, ""eraser"": 0, ""chalk box"": 2}",8
Meta-Llama-3-8B-Instruct,14,2,Mia Sanders,"I'll take the eraser and one chalk box, and you can take the other chalk box.","counter_propose,concede","{""whiteboard marker"": 0, ""eraser"": 1, ""chalk box"": 1}",3
Meta-Llama-3-8B-Instruct,14,3,Ava Thompson,I'll take the eraser and the chalk boxes.,counter_propose,"{""whiteboard marker"": 3, ""eraser"": 0, ""chalk box"": 0}",10
Meta-Llama-3-8B-Instruct,14,4,Mia Sanders,"I'll take the eraser and one chalk box, and you can take the 3 whiteboard markers.",counter_propose,"{""whiteboard marker"": 3, ""eraser"": 1, ""chalk box"": 1}",9
Meta-Llama-3-8B-Instruct,14,5,Ava Thompson,I'll take the eraser and the chalk boxes.,"counter_propose,insist","{""whiteboard marker"": 3, ""eraser"": 0, ""chalk box"": 0}",10
Meta-Llama-3-8B-Instruct,14,6,Mia Sanders,I'll take the eraser and 2 chalk boxes.,"counter_propose,concede","{""whiteboard marker"": 0, ""eraser"": 1, ""chalk box"": 2}",4
Meta-Llama-3-8B-Instruct,14,7,Ava Thompson,I'll take the eraser and the chalk boxes.,"counter_propose,insist","{""whiteboard marker"": 3, ""eraser"": 0, ""chalk box"": 0}",10
Meta-Llama-3-8B-Instruct,14,8,Mia Sanders,I'll take the 3 whiteboard markers.,accept,"{""whiteboard marker"": 3, ""eraser"": 0, ""chalk box"": 0}",6
Meta-Llama-3-8B-Instruct,15,0,Mia Sanders,I'll take the reference binder.,propose,"{""lab notebook"": 0, ""reference binder"": 1, ""USB drive"": 0}",8
Meta-Llama-3-8B-Instruct,15,1,Ava Thompson,I'll take the USB drives.,counter_propose,"{""lab notebook"": 3, ""reference binder"": 1, ""USB drive"": 0}",2
Meta-Llama-3-8B-Instruct,15,2,Mia Sanders,I'll take the USB drives.,"counter_propose,concede","{""lab notebook"": 0, ""reference binder"": 0, ""USB drive"": 2}",2
Meta-Llama-3-8B-Instruct,15,3,Ava Thompson,I'll take the lab notebooks.,counter_propose,"{""lab notebook"": 0, ""reference binder"": 1, ""USB drive"": 2}",6
Meta-Llama-3-8B-Instruct,15,4,Mia Sanders,I'll take the lab notebooks.,"counter_propose,concede","{""lab notebook"": 3, ""reference binder"": 0, ""USB drive"": 0}",0
Meta-Llama-3-8B-Instruct,15,5,Ava Thompson,I'll take the reference binder.,"counter_propose,concede","{""lab notebook"": 3, ""reference binder"": 0, ""USB drive"": 2}",2
Meta-Llama-3-8B-Instruct,15,6,Mia Sanders,I'll take the lab notebooks.,"counter_propose,insist","{""lab notebook"": 3, ""reference binder"": 0, ""USB drive"": 0}",0
Meta-Llama-3-8B-Instruct,15,7,Ava Thompson,I'll take the lab notebooks.,counter_propose,"{""lab notebook"": 0, ""reference binder"": 1, ""USB drive"": 2}",6
Meta-Llama-3-8B-Instruct,15,8,Mia Sanders,I'll take the USB drives.,counter_propose,"{""lab notebook"": 0, ""reference binder"": 0, ""USB drive"": 2}",2
Meta-Llama-3-8B-Instruct,15,9,Ava Thompson,I'll take the reference binder.,"counter_propose,concede","{""lab notebook"": 3, ""reference binder"": 0, ""USB drive"": 2}",2
Meta-Llama-3-8B-Instruct,15,10,Mia Sanders,I'll take the USB drives.,"counter_propose,insist","{""lab notebook"": 0, ""reference binder"": 0, ""USB drive"": 2}",2
Meta-Llama-3-8B-Instruct,15,11,Ava Thompson,I'll take the lab notebooks.,counter_propose,"{""lab notebook"": 0, ""reference binder"": 1, ""USB drive"": 2}",6
Meta-Llama-3-8B-Instruct,15,12,Mia Sanders,I'll take the USB drives.,"counter_propose,insist","{""lab notebook"": 0, ""reference binder"": 0, ""USB drive"": 2}",2
Meta-Llama-3-8B-Instruct,15,13,Ava Thompson,I'll take the USB drives.,"counter_propose,concede","{""lab notebook"": 3, ""reference binder"": 1, ""USB drive"": 0}",2
Meta-Llama-3-8B-Instruct,15,14,Mia Sanders,I'll take the reference binder.,counter_propose,"{""lab notebook"": 0, ""reference binder"": 1, ""USB drive"": 0}",8
Meta-Llama-3-8B-Instruct,15,15,Ava Thompson,I'll take the lab notebooks.,counter_propose,"{""lab notebook"": 0, ""reference binder"": 1, ""USB drive"": 2}",6
Meta-Llama-3-8B-Instruct,16,0,Mia Sanders,I'll take the pencil cup.,propose,"{""sticky note pad"": 0, ""paper clip box"": 0, ""pencil cup"": 1}",2
Meta-Llama-3-8B-Instruct,16,1,Ava Thompson,I'll take the pencil cup.,counter_propose,"{""sticky note pad"": 2, ""paper clip box"": 2, ""pencil cup"": 0}",6
Meta-Llama-3-8B-Instruct,16,2,Mia Sanders,I'll take the paper clip boxes.,counter_propose,"{""sticky note pad"": 0, ""paper clip box"": 2, ""pencil cup"": 0}",2
Meta-Llama-3-8B-Instruct,16,3,Ava Thompson,I'll take the paper clip boxes.,"counter_propose,concede","{""sticky note pad"": 2, ""paper clip box"": 0, ""pencil cup"": 1}",0
Meta-Llama-3-8B-Instruct,16,4,Mia Sanders,I'll take the sticky note pads.,counter_propose,"{""sticky note pad"": 2, ""paper clip box"": 0, ""pencil cup"": 0}",6
Meta-Llama-3-8B-Instruct,16,5,Ava Thompson,I'll take the sticky note pads.,counter_propose,"{""sticky note pad"": 0, ""paper clip box"": 2, ""pencil cup"": 1}",4
Meta-Llama-3-8B-Instruct,16,6,Mia Sanders,I'll take the pencil cup.,"counter_propose,concede","{""sticky note pad"": 0, ""paper clip box"": 0, ""pencil cup"": 1}",2
Meta-Llama-3-8B-Instruct,16,7,Ava Thompson,I'll take the pencil cup.,counter_propose,"{""sticky note pad"": 2, ""paper clip box"": 2, ""pencil cup"": 0}",6
Meta-Llama-3-8B-Instruct,16,8,Mia Sanders,I'll take the paper clip boxes.,counter_propose,"{""sticky note pad"": 0, ""paper clip box"": 2, ""pencil cup"": 0}",2
Meta-Llama-3-8B-Instruct,16,9,Ava Thompson,I'll take the sticky note pads.,"counter_propose,concede","{""sticky note pad"": 0, ""paper clip box"": 2, ""pencil cup"": 1}",4
Meta-Llama-3-8B-Instruct,16,10,Mia Sanders,I'll take the paper clip boxes.,"counter_propose,insist","{""sticky note pad"": 0, ""paper clip box"": 2, ""pencil cup"": 0}",2
Meta-Llama-3-8B-Instruct,16,11,Ava Thompson,I'll take the sticky note pads.,"counter_propose,insist","{""sticky note pad"": 0, ""paper clip box"": 2, ""pencil cup"": 1}",4
Meta-Llama-3-8B-Instruct,16,12,Mia Sanders,I'll take the sticky note pads.,counter_propose,"{""sticky note pad"": 2, ""paper clip box"": 0, ""pencil cup"": 0}",6
Meta-Llama-3-8B-Instruct,16,13,Ava Thompson,I'll take the sticky note pads.,"counter_propose,insist","{""sticky note pad"": 0, ""paper clip box"": 2, ""pencil cup"": 1}",4
Meta-Llama-3-8B-Instruct,16,14,Mia Sanders,I'll take the paper clip boxes.,"counter_propose,concede","{""sticky note pad"": 0, ""paper clip box"": 2, ""pencil cup"": 0}",2
Meta-Llama-3-8B-Instruct,16,15,Ava Thompson,I'll take the pencil cup.,counter_propose,"{""sticky note pad"": 2, ""paper clip box"": 2, ""pencil cup"": 0}",6
Meta-Llama-3-8B-Instruct,17,0,Mia Sanders,I'll take the badge holder.,propose,"{""workbook"": 0, ""lanyard"": 0, ""badge holder"": 1}",6
Meta-Llama-3-8B-Instruct,17,1,Ava Thompson,I'll take the lanyards.,counter_propose,"{""workbook"": 2, ""lanyard"": 0, ""badge holder"": 1}",2
